----------------------------------------------------------------------------------------------------
|  4  | 10  |  8  |  6  |  3  |  2  | 11  |  7  |  1  |  5  |  9  |
| 10  |  1  |  2  |  4  |  7  |  9  |  3  | 11  |  5  |  6  |  8  |
|  8  | 11  |  9  |  7  |  1  |  5  | 10  |  2  |  3  |  4  |  6  |
|  1  |  4  |  6  |  9  |  2  |  3  |  7  |  5  | 11  |  8  | 10  |
|  5  |  9  |  3  |  8  | 11  |  4  |  1  |  6  |  2  | 10  |  7  |
|  6  |  3  |  7  | 10  |  8  |  1  |  2  |  4  |  9  | 11  |  5  |
|  2  |  5  |  1  |  3  |  4  |  8  |  6  |  9  | 10  |  7  | 11  |
|  9  |  6  | 11  |  5  | 10  |  7  |  8  |  3  |  4  |  1  |  2  |
|  7  |  2  |  5  | 11  |  6  | 10  |  4  |  1  |  8  |  9  |  3  |
|  3  |  7  | 10  |  1  |  9  | 11  |  5  |  8  |  6  |  2  |  4  |
| 11  |  8  |  4  |  2  |  5  |  6  |  9  | 10  |  7  |  3  |  1  |
----------------------------------------------------------------------------------------------------
