-------------------------------------------------------------------------------------------------------------
| 10  |  3  |  2  |  9  |  6  |  4  | 12  | 11  |  1  |  5  |  7  |  8  |
|  5  |  8  |  3  |  7  |  4  |  6  | 10  | 12  |  9  | 11  |  1  |  2  |
|  3  |  5  | 10  |  2  |  1  |  7  |  8  |  6  | 11  | 12  |  9  |  4  |
|  8  |  2  |  7  | 10  |  3  | 12  | 11  |  1  |  4  |  6  |  5  |  9  |
|  7  | 10  |  5  |  1  |  2  |  9  |  6  |  3  | 12  |  8  |  4  | 11  |
|  6  | 12  |  8  |  5  | 10  |  1  |  9  |  4  |  2  |  7  | 11  |  3  |
|  4  |  9  | 12  |  8  |  5  | 11  |  1  |  2  |  6  |  3  | 10  |  7  |
|  9  |  4  | 11  |  6  |  8  | 10  |  2  |  5  |  7  |  1  |  3  | 12  |
|  1  |  6  |  9  | 11  |  7  |  3  |  4  | 10  |  8  |  2  | 12  |  5  |
| 12  |  7  |  4  |  3  | 11  |  2  |  5  |  8  | 10  |  9  |  6  |  1  |
| 11  |  1  |  6  | 12  |  9  |  8  |  3  |  7  |  5  |  4  |  2  | 10  |
|  2  | 11  |  1  |  4  | 12  |  5  |  7  |  9  |  3  | 10  |  8  |  6  |
-------------------------------------------------------------------------------------------------------------
