-------------------------------------------------------------------------------------------------------------
|  6  |  4  | 12  |  7  |  5  | 11  | 10  |  3  |  9  |  2  |  1  |  8  |
|  9  |  3  |  8  | 12  | 10  |  1  | 11  |  7  |  6  |  4  |  5  |  2  |
|  4  |  5  | 11  |  1  |  9  | 10  |  6  |  8  | 12  |  3  |  2  |  7  |
|  2  |  1  |  4  |  5  |  7  |  8  |  3  |  6  | 11  | 10  |  9  | 12  |
|  3  |  2  |  6  |  8  | 11  |  4  |  5  | 12  |  7  |  1  | 10  |  9  |
|  1  |  7  |  5  |  4  |  3  |  6  | 12  |  9  |  2  | 11  |  8  | 10  |
|  8  | 12  |  3  | 11  |  6  |  5  |  9  |  2  | 10  |  7  |  4  |  1  |
| 12  |  8  |  2  |  6  |  4  |  7  |  1  | 10  |  5  |  9  |  3  | 11  |
|  5  |  9  |  1  | 10  |  8  |  2  |  7  | 11  |  4  |  6  | 12  |  3  |
| 11  | 10  |  9  |  3  |  2  | 12  |  4  |  1  |  8  |  5  |  7  |  6  |
|  7  |  6  | 10  |  9  | 12  |  3  |  2  |  5  |  1  |  8  | 11  |  4  |
| 10  | 11  |  7  |  2  |  1  |  9  |  8  |  4  |  3  | 12  |  6  |  5  |
-------------------------------------------------------------------------------------------------------------
