-------------------------------------------------------------------------------------------------------------
|  7  |  2  | 10  |  5  | 12  |  6  | 11  |  3  |  9  |  8  |  4  |  1  |
| 11  |  5  |  1  |  8  |  3  | 10  |  6  |  9  |  4  | 12  |  7  |  2  |
|  3  |  6  | 12  | 11  |  4  |  2  |  7  |  1  |  5  |  9  | 10  |  8  |
|  8  |  3  | 11  | 12  |  5  |  9  |  2  |  6  | 10  |  7  |  1  |  4  |
|  5  | 11  |  7  |  2  |  8  |  3  |  9  |  4  |  6  |  1  | 12  | 10  |
|  6  |  8  |  5  |  7  |  9  | 12  |  3  | 10  |  1  |  4  |  2  | 11  |
|  2  | 10  |  6  |  4  |  1  |  5  |  8  | 11  | 12  |  3  |  9  |  7  |
|  1  |  7  |  2  | 10  | 11  |  4  |  5  | 12  |  3  |  6  |  8  |  9  |
| 12  |  4  |  3  |  9  | 10  | 11  |  1  |  8  |  7  |  2  |  6  |  5  |
|  4  |  1  |  9  |  3  |  2  |  7  | 12  |  5  |  8  | 10  | 11  |  6  |
|  9  | 12  |  4  |  1  |  6  |  8  | 10  |  7  |  2  | 11  |  5  |  3  |
| 10  |  9  |  8  |  6  |  7  |  1  |  4  |  2  | 11  |  5  |  3  | 12  |
-------------------------------------------------------------------------------------------------------------
