-------------------------------------------------------------------------------------------------------------
|  3  |  6  |  8  |  4  |  5  |  7  |  2  |  1  | 11  | 12  | 10  |  9  |
| 11  |  3  |  5  |  9  |  7  | 12  |  4  |  6  |  1  | 10  |  2  |  8  |
|  2  |  1  | 10  |  7  |  4  |  8  | 12  |  5  |  6  | 11  |  9  |  3  |
|  1  |  2  |  4  |  8  |  3  | 10  |  9  | 12  |  5  |  6  | 11  |  7  |
|  6  | 10  |  1  |  2  |  9  |  4  |  7  |  3  |  8  |  5  | 12  | 11  |
|  9  |  5  |  3  |  6  |  1  |  2  |  8  | 11  | 12  |  4  |  7  | 10  |
| 12  | 11  |  6  |  3  |  2  |  1  |  5  | 10  |  9  |  7  |  8  |  4  |
|  5  | 12  |  2  | 11  |  6  |  3  | 10  |  8  |  7  |  9  |  4  |  1  |
|  8  |  9  |  7  |  1  | 11  |  5  |  6  |  4  | 10  |  2  |  3  | 12  |
|  7  |  4  | 11  | 10  | 12  |  9  |  1  |  2  |  3  |  8  |  6  |  5  |
| 10  |  7  | 12  |  5  |  8  |  6  | 11  |  9  |  4  |  3  |  1  |  2  |
|  4  |  8  |  9  | 12  | 10  | 11  |  3  |  7  |  2  |  1  |  5  |  6  |
-------------------------------------------------------------------------------------------------------------
