-------------------------------------------------------------------------------------------------------------
|  6  |  3  |  8  |  5  |  2  | 10  | 11  |  1  |  7  |  9  |  4  | 12  |
|  5  |  6  |  2  | 12  |  8  |  4  |  9  | 10  | 11  |  7  |  1  |  3  |
|  3  | 12  |  7  |  8  | 11  |  1  |  2  |  5  | 10  |  4  |  6  |  9  |
| 12  |  1  |  3  |  7  |  4  |  8  |  6  |  2  |  5  | 11  |  9  | 10  |
| 10  |  4  | 11  |  2  | 12  |  7  |  1  |  3  |  9  |  6  |  5  |  8  |
|  4  |  2  |  6  |  3  | 10  |  5  |  8  |  9  |  1  | 12  | 11  |  7  |
|  1  |  5  | 12  | 10  |  3  |  9  |  4  | 11  |  6  |  8  |  7  |  2  |
|  8  | 10  |  5  |  6  |  9  | 11  |  7  |  4  |  2  |  3  | 12  |  1  |
|  7  |  9  |  1  | 11  |  6  | 12  |  3  |  8  |  4  | 10  |  2  |  5  |
|  9  |  7  |  4  |  1  |  5  |  3  | 12  |  6  |  8  |  2  | 10  | 11  |
| 11  |  8  |  9  |  4  |  1  |  2  | 10  |  7  | 12  |  5  |  3  |  6  |
|  2  | 11  | 10  |  9  |  7  |  6  |  5  | 12  |  3  |  1  |  8  |  4  |
-------------------------------------------------------------------------------------------------------------
