-------------------------------------------------------------------------------------------------------------
|  4  |  7  |  5  |  2  |  1  |  9  | 12  | 11  | 10  |  3  |  6  |  8  |
|  3  |  1  |  7  | 12  |  8  |  4  |  6  |  2  |  9  | 11  | 10  |  5  |
|  1  | 12  |  8  |  9  |  7  | 11  |  2  |  5  |  6  | 10  |  3  |  4  |
|  8  |  3  |  1  |  5  | 10  |  6  |  4  |  9  | 11  |  7  | 12  |  2  |
|  6  |  2  | 12  |  7  |  3  |  1  |  9  |  8  |  4  |  5  | 11  | 10  |
| 10  |  8  |  3  |  1  |  2  | 12  |  7  |  4  |  5  |  6  |  9  | 11  |
|  7  |  6  | 10  |  3  | 12  |  2  | 11  |  1  |  8  |  4  |  5  |  9  |
|  2  | 10  |  6  |  8  | 11  |  7  |  5  | 12  |  3  |  9  |  4  |  1  |
|  5  |  4  |  9  | 11  |  6  |  3  |  1  | 10  | 12  |  8  |  2  |  7  |
| 11  |  5  |  2  |  4  |  9  |  8  | 10  |  6  |  1  | 12  |  7  |  3  |
|  9  | 11  |  4  |  6  |  5  | 10  |  8  |  3  |  7  |  2  |  1  | 12  |
| 12  |  9  | 11  | 10  |  4  |  5  |  3  |  7  |  2  |  1  |  8  |  6  |
-------------------------------------------------------------------------------------------------------------
