-------------------------------------------------------------------------------------------------------------
|  9  | 12  |  6  |  4  | 10  |  2  |  3  |  5  | 11  |  8  |  7  |  1  |
|  7  |  6  |  9  | 11  |  4  |  5  |  1  | 10  |  2  |  3  |  8  | 12  |
|  3  |  7  | 12  |  9  |  8  |  4  | 11  |  6  |  5  | 10  |  1  |  2  |
|  1  |  3  |  2  | 10  | 12  |  8  |  4  | 11  |  7  |  9  |  5  |  6  |
|  8  |  1  | 10  | 12  |  3  |  7  |  5  |  2  |  6  | 11  |  4  |  9  |
|  5  |  2  |  1  |  6  |  7  | 10  | 12  |  3  |  8  |  4  |  9  | 11  |
|  6  | 10  |  5  |  3  |  9  | 12  |  7  |  4  |  1  |  2  | 11  |  8  |
|  4  |  9  |  7  |  1  |  6  | 11  |  2  |  8  | 10  |  5  | 12  |  3  |
| 12  |  4  |  8  |  2  | 11  |  6  | 10  |  7  |  9  |  1  |  3  |  5  |
|  2  |  8  | 11  |  7  |  5  |  3  |  9  |  1  |  4  | 12  |  6  | 10  |
| 11  |  5  |  3  |  8  |  2  |  1  |  6  |  9  | 12  |  7  | 10  |  4  |
| 10  | 11  |  4  |  5  |  1  |  9  |  8  | 12  |  3  |  6  |  2  |  7  |
-------------------------------------------------------------------------------------------------------------
