-------------------------------------------------------------------------------------------------------------
|  3  |  5  |  8  | 12  | 11  |  2  | 10  |  4  |  6  |  7  |  1  |  9  |
|  6  | 12  |  7  |  4  |  8  |  9  |  2  |  5  | 11  |  3  | 10  |  1  |
|  8  |  2  | 11  |  3  | 10  |  7  |  1  |  6  |  4  |  5  |  9  | 12  |
|  1  | 10  |  9  |  7  |  5  | 11  |  3  |  2  | 12  |  4  |  6  |  8  |
|  4  |  3  | 10  |  6  |  9  |  5  |  8  |  7  |  2  |  1  | 12  | 11  |
|  7  |  1  |  3  |  5  | 12  |  8  | 11  | 10  |  9  |  6  |  4  |  2  |
| 10  |  4  |  5  |  1  |  3  |  6  |  9  | 12  |  8  |  2  | 11  |  7  |
|  9  |  8  |  6  | 11  |  4  |  3  |  5  |  1  |  7  | 12  |  2  | 10  |
|  5  |  6  |  1  |  8  |  2  | 10  | 12  | 11  |  3  |  9  |  7  |  4  |
|  2  |  7  | 12  |  9  |  1  |  4  |  6  |  8  | 10  | 11  |  3  |  5  |
| 12  | 11  |  4  |  2  |  6  |  1  |  7  |  9  |  5  | 10  |  8  |  3  |
| 11  |  9  |  2  | 10  |  7  | 12  |  4  |  3  |  1  |  8  |  5  |  6  |
-------------------------------------------------------------------------------------------------------------
