----------------------------------------------------------------------------------------------------
|  6  |  1  |  7  |  9  |  2  |  4  | 10  |  8  |  5  |  3  | 11  |
|  7  |  5  |  9  |  6  | 10  |  8  | 11  |  2  |  1  |  4  |  3  |
|  3  |  6  | 10  |  4  |  1  |  2  |  7  | 11  |  8  |  9  |  5  |
|  5  |  9  |  8  | 11  |  3  | 10  |  2  |  7  |  6  |  1  |  4  |
|  4  |  3  |  1  |  7  |  5  |  9  |  8  | 10  |  2  | 11  |  6  |
|  9  |  7  |  6  |  1  | 11  |  5  |  3  |  4  | 10  |  2  |  8  |
| 10  |  2  |  5  |  3  |  9  |  7  |  4  |  6  | 11  |  8  |  1  |
|  2  | 11  |  4  |  8  |  6  |  1  |  5  |  3  |  9  | 10  |  7  |
| 11  |  4  |  2  | 10  |  8  |  6  |  1  |  5  |  3  |  7  |  9  |
|  1  |  8  | 11  |  2  |  7  |  3  |  6  |  9  |  4  |  5  | 10  |
|  8  | 10  |  3  |  5  |  4  | 11  |  9  |  1  |  7  |  6  |  2  |
----------------------------------------------------------------------------------------------------
