----------------------------------------------------------------------------------------------------
|  3  |  9  |  4  |  6  |  7  | 10  |  8  |  5  | 11  |  2  |  1  |
|  6  | 11  |  7  | 10  |  9  |  4  |  2  |  8  |  5  |  1  |  3  |
|  9  |  4  |  3  |  5  | 10  |  6  |  7  | 11  |  1  |  8  |  2  |
|  7  |  3  | 10  |  2  |  8  |  5  |  1  |  9  |  4  | 11  |  6  |
|  5  |  8  |  1  |  3  |  6  |  9  | 10  |  4  |  2  |  7  | 11  |
|  8  |  1  |  9  |  4  |  2  |  3  | 11  | 10  |  7  |  6  |  5  |
|  4  |  6  | 11  |  9  |  3  |  2  |  5  |  1  |  8  | 10  |  7  |
| 11  | 10  |  8  |  7  |  4  |  1  |  3  |  2  |  6  |  5  |  9  |
| 10  |  5  |  2  |  8  |  1  | 11  |  6  |  7  |  9  |  3  |  4  |
|  2  |  7  |  5  |  1  | 11  |  8  |  9  |  6  |  3  |  4  | 10  |
|  1  |  2  |  6  | 11  |  5  |  7  |  4  |  3  | 10  |  9  |  8  |
----------------------------------------------------------------------------------------------------
