----------------------------------------------------------------------------------------------------
|  3  |  7  |  9  |  8  |  4  |  6  |  5  | 10  | 11  |  2  |  1  |
| 11  |  5  |  8  |  9  |  6  |  4  |  1  |  7  | 10  |  3  |  2  |
| 10  |  8  |  1  |  6  |  7  |  5  |  3  | 11  |  2  |  4  |  9  |
|  2  |  1  |  5  |  3  |  8  |  9  |  4  |  6  |  7  | 10  | 11  |
|  4  |  6  |  7  |  1  |  5  |  8  | 11  |  2  |  3  |  9  | 10  |
|  6  |  2  | 11  |  4  |  9  |  3  | 10  |  1  |  5  |  7  |  8  |
|  8  | 10  |  4  |  7  |  2  | 11  |  9  |  5  |  6  |  1  |  3  |
|  1  |  9  |  2  | 11  | 10  |  7  |  6  |  3  |  4  |  8  |  5  |
|  9  | 11  |  6  | 10  |  3  |  2  |  7  |  8  |  1  |  5  |  4  |
|  7  |  4  |  3  |  5  |  1  | 10  |  2  |  9  |  8  | 11  |  6  |
|  5  |  3  | 10  |  2  | 11  |  1  |  8  |  4  |  9  |  6  |  7  |
----------------------------------------------------------------------------------------------------
