----------------------------------------------------------------------------------------------------
| 10  |  4  |  2  |  5  |  8  |  7  |  6  | 11  |  3  |  1  |  9  |
|  9  |  2  |  4  |  7  |  5  |  8  |  1  |  6  | 11  |  3  | 10  |
|  5  |  1  |  6  |  4  | 11  |  3  |  7  | 10  |  8  |  9  |  2  |
|  3  | 11  | 10  |  6  |  9  |  4  |  8  |  5  |  1  |  2  |  7  |
|  2  | 10  | 11  |  3  |  6  |  5  |  9  |  8  |  7  |  4  |  1  |
| 11  |  7  |  1  |  2  |  3  |  6  |  4  |  9  |  5  | 10  |  8  |
|  6  |  3  |  9  | 10  |  7  | 11  |  5  |  1  |  2  |  8  |  4  |
|  8  |  5  |  3  |  9  |  2  |  1  | 11  |  4  | 10  |  7  |  6  |
|  4  |  9  |  8  | 11  |  1  |  2  | 10  |  7  |  6  |  5  |  3  |
|  7  |  8  |  5  |  1  | 10  |  9  |  3  |  2  |  4  |  6  | 11  |
|  1  |  6  |  7  |  8  |  4  | 10  |  2  |  3  |  9  | 11  |  5  |
----------------------------------------------------------------------------------------------------
