---------------------------------------------------------------------------------------------------------------
|  4 17  | 13 11  | 12  2  | 14  3  | 10  1  |  6  8  | 19  9  | 16  7  | 18  5  | 15 20  |
| 11 16  |  3 12  |  1  9  |  2  8  |  5  6  |  7 20  |  4 13  | 17 14  | 15 19  | 18 10  |
| 14 10  |  2 17  | 11  3  |  4  6  | 18 15  |  1 13  |  5 12  | 20  9  | 16  7  | 19  8  |
|  7 19  | 18  6  | 13  4  | 12 11  |  3  2  | 10 14  | 16 15  |  8  5  |  9 20  |  1 17  |
|  6  2  | 15 16  |  7 19  | 13 10  | 11  4  |  5 18  |  1 20  |  3 12  | 17  8  |  9 14  |
|  8  9  | 10 14  | 16  6  |  7 15  | 19 20  | 12  4  | 18 17  |  1 13  |  3 11  |  5  2  |
| 20  1  |  4 19  | 18 17  |  5  9  | 14 13  |  2  3  | 11  8  | 15 10  | 12  6  | 16  7  |
| 15  5  |  8  1  | 10 20  | 16 19  |  9 12  | 11 17  |  3  7  | 18  4  | 14  2  |  6 13  |
| 12  3  |  9 20  | 14  5  | 17 18  |  7  8  | 15 16  |  6 10  | 19  2  | 13  1  |  4 11  |
| 13 18  |  5  7  |  8 15  |  1 20  | 17 16  | 19  9  |  2 14  |  6 11  |  4 10  | 12  3  |
---------------------------------------------------------------------------------------------------------------
|  1 20  | 17  2  |  3 13  |  6  7  |  4  5  | 14 12  | 15 16  | 10 18  | 11  9  |  8 19  |
| 17  8  | 11  3  |  4 12  |  9 14  | 16 18  | 20  1  | 10  5  |  7 19  |  6 13  |  2 15  |
| 19 14  |  1  9  | 17 18  |  3  2  |  8 10  | 13 11  | 12  6  |  5 15  | 20 16  |  7  4  |
|  9  6  | 19 18  |  2 14  | 11 12  | 13 17  |  3 10  |  7  1  |  4 16  |  8 15  | 20  5  |
|  2  4  |  6 10  | 19 11  | 15 17  | 12  9  |  8  5  | 20 18  | 14  1  |  7  3  | 13 16  |
| 18 11  | 12 15  |  6  8  | 19 13  |  2  3  | 16  7  | 14  4  |  9 20  |  5 17  | 10  1  |
|  5 15  | 14  4  | 20 16  | 18  1  |  6  7  | 17 19  |  8  2  | 13  3  | 10 12  | 11  9  |
| 16 12  | 20  5  |  9  7  | 10  4  | 15 19  | 18  2  | 13  3  | 11  8  |  1 14  | 17  6  |
|  3 13  |  7  8  |  5 10  | 20 16  |  1 11  |  9 15  | 17 19  | 12  6  |  2  4  | 14 18  |
| 10  7  | 16 13  | 15  1  |  8  5  | 20 14  |  4  6  |  9 11  |  2 17  | 19 18  |  3 12  |
---------------------------------------------------------------------------------------------------------------
