---------------------------------------------------------------------------------------------------------------
| 19  2  |  8 17  |  5  6  | 14  3  | 12 15  | 16  4  | 11 13  |  9  7  | 20 18  |  1 10  |
| 12 16  | 19 15  | 17  8  | 20  4  | 14  3  | 13 18  |  1  9  |  5 10  |  7  2  | 11  6  |
| 10  5  |  4  6  | 12 19  |  8 11  | 16  9  | 17  2  |  3 20  | 13  1  | 14 15  |  7 18  |
|  8  1  |  3 20  | 10  2  | 12  5  |  4 13  |  9 15  | 17  7  | 14 18  | 11  6  | 19 16  |
| 13 18  |  5 12  |  3  7  | 16  2  |  8 17  | 11 19  | 10 15  |  6  4  |  1  9  | 14 20  |
| 17 14  | 13 10  | 11 15  | 19  7  |  2 18  | 12  1  |  6  5  | 20  3  | 16  4  |  9  8  |
|  6  9  |  1 11  | 14 13  | 10 18  | 19  7  |  8 20  |  4 16  | 15 17  |  5 12  |  2  3  |
|  4  7  |  9 14  |  1 18  | 15 17  |  5 20  |  3  6  |  2  8  | 11 16  | 10 19  | 12 13  |
|  3 20  | 18  2  |  4 16  |  6  9  |  1 11  |  7 10  | 12 14  |  8 19  | 17 13  | 15  5  |
| 15 11  | 16  7  |  9 20  | 13  1  |  6 10  |  5 14  | 19 18  | 12  2  |  8  3  | 17  4  |
---------------------------------------------------------------------------------------------------------------
| 16 12  |  7  9  |  6  5  |  2 14  | 15  8  | 10 13  | 18  1  |  4 20  | 19 11  |  3 17  |
| 20 17  | 14  5  | 16  9  |  1 10  | 11  6  | 15  3  |  8  4  |  2 12  | 18  7  | 13 19  |
|  7 13  | 12  4  |  2 10  | 11 19  | 18  1  | 14  5  | 15  3  | 17  8  |  6 16  | 20  9  |
| 18 10  | 17  1  |  7  3  |  5  8  |  9  4  |  6 11  | 14  2  | 19 15  | 13 20  | 16 12  |
| 11  8  |  2 19  | 15 12  |  3 16  | 20  5  |  1  9  |  7  6  | 18 13  |  4 17  | 10 14  |
| 14  6  | 11  8  | 20  4  |  7 12  | 17 19  | 18 16  | 13 10  |  3  9  | 15  1  |  5  2  |
|  9  4  | 10 13  | 19 11  | 17  6  |  7  2  | 20  8  | 16 12  |  1 14  |  3  5  | 18 15  |
|  1 15  | 20 16  | 18 17  |  9 13  |  3 12  |  4  7  |  5 19  | 10  6  |  2 14  |  8 11  |
|  5 19  |  6  3  |  8  1  | 18 15  | 13 14  |  2 12  | 20 17  | 16 11  |  9 10  |  4  7  |
|  2  3  | 15 18  | 13 14  |  4 20  | 10 16  | 19 17  |  9 11  |  7  5  | 12  8  |  6  1  |
---------------------------------------------------------------------------------------------------------------
