---------------------------------------------------------------------------------------------------------------
| 20 11  |  9  3  |  7 16  | 12 13  |  5  4  |  2  8  | 19  6  |  1 18  | 14 10  | 17 15  |
| 10  6  | 12  4  |  9  1  | 16 11  |  8 18  |  5 15  |  2 20  |  7 14  |  3 17  | 13 19  |
|  8 12  |  6 11  |  5 19  |  7 15  |  2 10  | 17  4  |  1  9  | 20 16  | 18 13  | 14  3  |
|  1 18  | 10  5  |  4 14  |  6 17  | 16 11  |  9  7  |  8 15  | 13  3  | 20 19  |  2 12  |
|  7 14  | 18  2  | 12 11  |  8 19  | 15  3  | 16 13  |  4  5  |  9 17  |  1  6  | 20 10  |
|  4 13  | 14  1  | 20 15  |  5  9  | 12 17  | 11  6  |  3 10  |  8 19  |  7  2  | 18 16  |
| 17 16  |  8 20  |  6  2  |  4  3  |  7 19  | 12 14  | 13 18  | 15 10  |  9 11  |  1  5  |
|  3  2  | 16 13  | 18 10  | 14 20  |  6  9  | 19  1  | 11 17  |  4  5  | 15 12  |  7  8  |
|  9 15  |  7 19  | 13 17  |  2 18  | 20  1  | 10  3  | 16 14  | 11 12  |  5  8  |  4  6  |
| 19  5  | 15 17  |  3  8  |  1 10  | 13 14  | 20 18  | 12  7  |  2  6  | 16  4  |  9 11  |
---------------------------------------------------------------------------------------------------------------
| 16 20  |  3 18  |  8  6  | 11  5  | 14  7  | 15  9  | 10  2  | 12 13  |  4  1  | 19 17  |
| 14 17  | 13 12  | 16  3  |  9  4  |  1  5  |  8 20  |  7 11  | 19  2  |  6 15  | 10 18  |
|  2  8  | 17  9  |  1 20  | 13  6  | 19 16  |  7 10  | 14  3  | 18 11  | 12  5  | 15  4  |
|  5  3  | 20 14  | 17  9  | 18  2  |  4 13  |  6 11  | 15 16  | 10  8  | 19  7  | 12  1  |
| 12  1  |  5 10  | 15 18  |  3  8  |  9  2  | 13 16  | 17 19  | 14  4  | 11 20  |  6  7  |
| 18  7  | 11 15  | 19  4  | 20 14  |  3  8  |  1 12  |  6 13  | 17  9  | 10 16  |  5  2  |
| 15  4  | 19  8  | 10 12  | 17 16  | 11 20  | 14  5  |  9  1  |  6  7  |  2 18  |  3 13  |
|  6 10  |  1 16  |  2  7  | 19 12  | 18 15  |  4 17  |  5  8  |  3 20  | 13  9  | 11 14  |
| 11 19  |  4  7  | 14 13  | 10  1  | 17  6  | 18  2  | 20 12  |  5 15  |  8  3  | 16  9  |
| 13  9  |  2  6  | 11  5  | 15  7  | 10 12  |  3 19  | 18  4  | 16  1  | 17 14  |  8 20  |
---------------------------------------------------------------------------------------------------------------
