---------------------------------------------------------------------------------------------------------------
| 10  4  | 11 16  |  5 17  | 14 15  | 12  7  | 18  6  | 19  8  |  3 20  |  1  9  | 13  2  |
|  1 15  | 17  7  | 16 20  | 18 12  |  8  3  |  4 11  | 13  6  | 14  2  | 19 10  |  9  5  |
| 12 18  | 14 19  |  7  2  | 17 10  | 16  1  |  3  5  |  9 15  | 11  6  |  4 13  | 20  8  |
| 13 11  | 15  8  | 14  6  | 20 16  |  2 17  |  7 10  | 18  4  |  1  9  |  3  5  | 19 12  |
|  6  7  |  1  2  | 11 12  |  8  4  | 10  5  | 16  9  |  3 14  | 13 19  | 15 20  | 18 17  |
| 19  8  | 18  4  |  1 15  |  7 11  |  9 13  | 17 12  | 16 20  | 10  5  | 14  2  |  3  6  |
| 14  2  | 10  3  |  8  4  |  6  9  | 15 20  | 13 19  |  7  5  | 18 16  | 12 17  |  1 11  |
|  9 20  | 12  6  | 10  3  |  5 13  | 19 18  | 15  8  |  2  1  |  7 17  | 16 11  | 14  4  |
| 17  5  | 20  9  | 19 13  |  2  3  | 11  6  |  1 14  | 12 10  |  8  4  |  7 18  | 16 15  |
| 16  3  |  5 13  | 18  9  | 19  1  | 14  4  | 20  2  | 17 11  | 15 12  |  6  8  | 10  7  |
---------------------------------------------------------------------------------------------------------------
|  7 14  |  3 20  | 13  5  | 12  2  | 17 11  | 19  1  |  4 16  |  6 10  | 18 15  |  8  9  |
| 18 12  |  6 15  | 17  7  | 16 19  |  1  2  | 10  3  | 14 13  |  9  8  |  5  4  | 11 20  |
|  3  6  |  4 12  |  2 10  | 11  5  |  7 15  | 14 18  |  8  9  | 16 13  | 20  1  | 17 19  |
|  4 10  |  8 18  | 15 14  |  1  7  | 13 16  |  2 17  |  5 19  | 20 11  |  9  6  | 12  3  |
| 15 16  |  7 17  | 12  8  | 13  6  | 18 19  |  9 20  |  1  2  |  4 14  | 11  3  |  5 10  |
| 11  9  | 16  5  |  4 18  | 15 20  |  6 12  |  8 13  | 10 17  | 19  3  |  2 14  |  7  1  |
| 20 17  |  9 10  |  6  1  |  3  8  |  5 14  | 12 15  | 11 18  |  2  7  | 13 19  |  4 16  |
|  8  1  | 19 14  | 20 11  |  4 17  |  3  9  |  6  7  | 15 12  |  5 18  | 10 16  |  2 13  |
|  2 19  | 13 11  |  9 16  | 10 18  | 20  8  |  5  4  |  6  3  | 12  1  | 17  7  | 15 14  |
|  5 13  |  2  1  |  3 19  |  9 14  |  4 10  | 11 16  | 20  7  | 17 15  |  8 12  |  6 18  |
---------------------------------------------------------------------------------------------------------------
