---------------------------------------------------------------------------------------------------------------
| 12  1  |  4 13  | 18 19  |  2 11  | 14  9  |  8  7  | 10 20  |  5  3  | 17 15  |  6 16  |
|  6 14  | 12  5  |  8  2  | 18 16  | 11 15  |  3 13  | 17  7  | 20  9  |  4 10  | 19  1  |
| 20  4  | 17 18  | 13 14  |  8  6  |  5 16  |  9 12  |  3  2  |  7 10  |  1 19  | 15 11  |
| 15 10  |  7  8  |  9  1  |  3 13  |  2  6  | 19 16  | 12 11  | 17  4  | 20  5  | 14 18  |
|  8  9  | 20 11  | 12 17  |  5 19  | 18 10  |  2  1  | 13  6  | 14 15  |  3 16  |  4  7  |
| 13 19  |  9 14  | 20  4  | 17 10  |  8  3  | 18  6  | 15  5  | 16  1  |  7 11  | 12  2  |
| 16 17  | 15 19  | 10  7  | 20  9  |  4  1  |  5 11  |  8 18  |  2 12  |  6 14  |  3 13  |
| 11 18  | 10 16  | 15  3  |  1  7  | 12 13  | 20 17  |  4 14  |  6 19  |  2  9  |  5  8  |
|  2  7  |  6  3  |  5 16  | 12 15  | 17 20  |  4 14  | 19  1  | 11 13  | 18  8  | 10  9  |
|  5  3  |  2  1  | 11  6  |  4 14  |  7 19  | 10 15  |  9 16  |  8 18  | 12 13  | 17 20  |
---------------------------------------------------------------------------------------------------------------
| 14 16  |  3  9  |  4 20  | 13 12  |  1  5  | 17 18  |  2 15  | 10  8  | 11  6  |  7 19  |
| 19  5  | 13  4  |  6  9  | 10 18  | 16 12  | 11  2  |  1  8  | 15  7  | 14 17  | 20  3  |
| 17 12  | 19  6  | 14 15  |  9  3  | 10  7  | 16  5  | 18 13  |  1 11  |  8 20  |  2  4  |
|  9  6  | 16 17  | 19  8  | 11  2  | 13 18  | 14  3  | 20 10  |  4  5  | 15  7  |  1 12  |
|  4  2  | 14 20  |  3 10  | 19  8  |  6 17  |  7  9  | 11 12  | 18 16  |  5  1  | 13 15  |
| 18 11  |  5 12  | 17 13  | 15 20  |  3  8  |  1 10  |  7  4  | 19 14  | 16  2  |  9  6  |
|  3 20  | 11 15  | 16 12  |  7  1  |  9  2  |  6  8  |  5 19  | 13 17  | 10  4  | 18 14  |
| 10 13  |  1  2  |  7 11  | 16  4  | 15 14  | 12 19  |  6 17  |  3 20  |  9 18  |  8  5  |
|  7 15  |  8 10  |  1 18  |  6  5  | 20 11  | 13  4  | 14  9  | 12  2  | 19  3  | 16 17  |
|  1  8  | 18  7  |  2  5  | 14 17  | 19  4  | 15 20  | 16  3  |  9  6  | 13 12  | 11 10  |
---------------------------------------------------------------------------------------------------------------
