---------------------------------------------------------------------------------------------------------------
|  4 16  | 10  9  | 19 15  |  5  2  | 20  8  | 14 18  | 17  1  | 13 11  | 12  3  |  7  6  |
| 18 10  | 14  8  | 16 17  |  9 19  |  4  2  |  1  3  | 12 11  | 15  5  |  6  7  | 13 20  |
|  7 12  |  4  1  | 11  2  | 15 13  |  9 10  |  8 16  | 18  3  | 14  6  | 19 20  | 17  5  |
| 11 20  | 18 16  |  7 10  |  8  4  |  5 15  |  2  9  | 13  6  |  1  3  | 17 14  | 19 12  |
|  2  8  |  7 17  | 18  1  | 16 14  | 19 12  | 15  6  |  9 10  | 20  4  | 13  5  |  3 11  |
|  9 14  | 11 20  |  8  3  | 10  1  | 16  6  |  5 13  | 19  7  | 17 12  | 15 18  |  2  4  |
|  5 15  |  2 12  | 20  4  | 11  6  |  3 13  | 10 17  | 16  8  |  7 19  |  1  9  | 14 18  |
| 13  3  | 15  6  | 14 12  | 20 17  | 18 11  |  7 19  |  5  2  |  9 16  | 10  4  |  1  8  |
|  6 19  |  5  3  |  9 13  | 18  7  | 17  1  | 12 20  | 14  4  |  8 10  | 11  2  | 15 16  |
| 17  1  | 13 19  |  6  5  | 12  3  |  7 14  | 11  4  | 15 20  | 18  2  |  8 16  |  9 10  |
---------------------------------------------------------------------------------------------------------------
| 16 17  |  3 15  | 13 11  | 14  5  | 10  9  | 18  2  |  6 12  | 19  8  | 20  1  |  4  7  |
|  8  4  |  1  2  | 15 20  |  3 18  | 12 17  | 16  7  | 10 13  | 11 14  |  9  6  |  5 19  |
| 10  7  |  9 18  |  4 16  | 13  8  |  1  5  | 17 12  |  2 19  |  6 20  |  3 15  | 11 14  |
|  1  6  | 20 13  | 17 18  |  2 16  | 14  7  |  9  8  | 11  5  | 12 15  |  4 19  | 10  3  |
| 19  9  | 16  5  | 12  7  | 17 20  |  6 18  |  3  1  |  4 15  | 10 13  | 14 11  |  8  2  |
| 14 18  |  6 11  |  2  8  |  7  9  | 13 16  | 19 10  |  3 17  |  4  1  |  5 12  | 20 15  |
| 12 13  |  8 10  |  5 19  |  4 15  |  2  3  | 20 11  |  7 14  | 16  9  | 18 17  |  6  1  |
|  3 11  | 12  7  |  1  9  | 19 10  | 15  4  |  6 14  | 20 16  |  5 17  |  2  8  | 18 13  |
| 15  2  | 19 14  | 10  6  |  1 12  | 11 20  |  4  5  |  8  9  |  3 18  |  7 13  | 16 17  |
| 20  5  | 17  4  |  3 14  |  6 11  |  8 19  | 13 15  |  1 18  |  2  7  | 16 10  | 12  9  |
---------------------------------------------------------------------------------------------------------------
