---------------------------------------------------------------------------------------------------------------
|  1 13  | 10 17  | 16  9  |  3 15  |  4 20  | 11  7  | 18 14  |  2  8  |  5 19  |  6 12  |
| 20 17  |  8 16  | 10 19  |  1  2  |  3  6  | 18 13  | 11 15  |  5  7  |  4 12  | 14  9  |
|  4 18  | 20 12  |  1  5  | 10  9  | 14  7  | 15 19  |  8  2  | 11 16  |  6 13  |  3 17  |
|  3  2  | 14  1  | 20  7  |  8  4  |  9 11  |  6 12  |  5 13  | 18 17  | 16 10  | 19 15  |
|  9  7  |  3 13  | 17  8  | 20 16  | 15  5  |  4  2  | 19  6  | 14 12  | 18 11  |  1 10  |
| 14 19  |  7  2  | 13  3  | 17  5  |  8  1  |  9 10  | 12 16  |  6  4  | 20 15  | 18 11  |
| 15  5  |  9 11  |  2 14  | 13  6  | 18 12  | 16  8  |  4 10  | 19  1  | 17  3  |  7 20  |
| 11  6  | 19 15  | 18 12  |  7 14  | 17  2  |  1  5  |  3 20  | 10 13  |  8  9  | 16  4  |
|  8 10  | 18  5  |  4  6  | 12 11  | 16 19  | 14 20  | 17  9  | 15  3  |  1  7  | 13  2  |
| 16 12  |  6  4  | 15 11  | 18 19  | 13 10  |  3 17  |  1  7  |  9 20  |  2 14  |  8  5  |
---------------------------------------------------------------------------------------------------------------
|  5  9  |  2  6  |  7 13  | 16  1  | 11 15  | 19  4  | 14 18  |  3 10  | 12 17  | 20  8  |
| 19 11  |  5 18  |  6  2  | 15 13  | 10  8  | 17  3  | 20  1  |  4 14  |  9 16  | 12  7  |
| 13  4  | 12 20  |  8 18  |  6 10  |  1 14  |  5 15  |  7 19  | 17  9  |  3  2  | 11 16  |
|  7 16  | 11  8  |  3  4  |  2 12  | 19 18  | 20 14  | 15 17  |  1  6  | 10  5  |  9 13  |
|  6 14  |  1  7  | 11 20  |  9  3  |  2 13  | 10 18  | 16 12  |  8  5  | 15  4  | 17 19  |
| 18 20  | 16 10  | 19 15  | 11  7  |  6 17  | 12  1  |  9  5  | 13  2  | 14  8  |  4  3  |
| 10  3  | 15 14  | 12 16  |  4 17  |  5  9  | 13 11  |  6  8  | 20 19  |  7  1  |  2 18  |
| 12  8  | 13  9  |  5 17  | 14 18  |  7  3  |  2  6  | 10  4  | 16 11  | 19 20  | 15  1  |
|  2 15  | 17 19  |  9  1  |  5 20  | 12  4  |  8 16  | 13  3  |  7 18  | 11  6  | 10 14  |
| 17  1  |  4  3  | 14 10  | 19  8  | 20 16  |  7  9  |  2 11  | 12 15  | 13 18  |  5  6  |
---------------------------------------------------------------------------------------------------------------
