---------------------------------------------------------------------------------------------------------------
| 20 13  |  3 10  |  2 19  | 15 11  |  8  9  | 17 16  | 12  4  |  7  5  |  1  6  | 18 14  |
| 18 14  |  8 15  |  9 17  | 16 20  |  5  4  |  6  1  | 11  7  | 12 13  | 19  3  |  2 10  |
| 11  9  | 13 12  |  3 10  |  4 17  | 16  7  | 19 15  | 18 20  |  1 14  |  5  2  |  6  8  |
| 17  3  | 20  2  |  6 14  | 13  5  | 19 15  |  9  4  |  8 10  | 18 11  |  7 12  | 16  1  |
|  1  8  | 18  7  | 13 16  | 19  3  | 14 11  | 10  2  | 15  9  |  6 17  |  4 20  | 12  5  |
| 12  4  | 14 19  | 20  7  |  2  6  | 13 17  | 11  8  |  5  1  |  9 10  | 18 16  | 15  3  |
| 19  7  |  9  4  | 11  1  | 14  8  | 20 12  | 18  5  |  6 16  |  2  3  | 10 15  | 17 13  |
| 10 15  | 11  5  | 12  4  |  7  1  |  6 18  | 20 13  |  3  2  | 16  8  | 14 17  | 19  9  |
|  2  6  | 17 16  |  5  8  | 12 18  | 10  1  | 14  3  | 13 19  | 20 15  | 11  9  |  7  4  |
| 16  5  |  1  6  | 18 15  |  9 10  |  3  2  | 12  7  | 17 14  |  4 19  | 13  8  | 20 11  |
---------------------------------------------------------------------------------------------------------------
| 14 10  |  4 11  |  8  9  |  6 16  | 15  3  |  1 12  |  7 18  | 17  2  | 20  5  | 13 19  |
|  9 20  | 15  3  | 14 12  | 11  4  |  2 16  |  7  6  | 19 17  |  5  1  |  8 13  | 10 18  |
|  6 17  |  5 13  | 10 20  |  1  7  | 11 14  | 16  9  |  2 15  |  8 18  |  3 19  |  4 12  |
| 15  1  |  7 20  | 16 13  | 10  9  | 12  6  |  5 19  | 14  8  |  3  4  |  2 18  | 11 17  |
|  4 18  | 10  9  |  7  6  | 20 12  | 17 13  |  8 14  |  1  3  | 19 16  | 15 11  |  5  2  |
|  3  2  | 19  1  | 15  5  |  8 14  | 18 10  | 13 17  | 16  6  | 11  7  | 12  4  |  9 20  |
| 13 16  | 12 18  |  1 11  |  3 19  |  4  8  |  2 10  |  9  5  | 15 20  | 17  7  | 14  6  |
|  7 12  |  6  8  | 19 18  | 17  2  |  1  5  |  4 11  | 20 13  | 14  9  | 16 10  |  3 15  |
|  8 19  | 16 17  |  4  2  |  5 15  |  9 20  |  3 18  | 10 11  | 13 12  |  6 14  |  1  7  |
|  5 11  |  2 14  | 17  3  | 18 13  |  7 19  | 15 20  |  4 12  | 10  6  |  9  1  |  8 16  |
---------------------------------------------------------------------------------------------------------------
