---------------------------------------------------------------------------------------------------------------
|  6 18  | 10  8  | 17  3  |  9 13  |  1 19  |  4 14  |  7  5  | 20 15  |  2 12  | 11 16  |
|  5  3  | 17  1  |  4  8  | 11 19  |  6 13  | 10 15  | 14  9  |  7 12  | 20 16  |  2 18  |
| 16 17  |  6  5  |  9 12  | 18  3  |  4 11  | 19 13  |  8 10  |  2 14  | 15  1  | 20  7  |
| 12 13  |  3 19  |  6  1  | 17  7  |  2  5  | 18  8  |  4 20  | 16 10  | 14 11  | 15  9  |
|  1  9  | 13 14  |  5 19  | 12  8  | 17 16  |  2 20  | 15 18  |  4 11  | 10  7  |  6  3  |
| 19  4  | 18 16  | 11 20  |  1 15  |  3  9  | 17  7  |  2 12  |  8  5  | 13  6  | 14 10  |
| 11 14  |  4  7  | 16 18  |  2 10  | 15 20  |  5  9  | 13 19  | 17  6  |  8  3  | 12  1  |
|  7  8  |  9  2  | 14 15  | 20  4  | 18 10  | 11 12  | 16  6  |  3  1  |  5 17  | 19 13  |
| 20  2  | 15 11  | 13 10  |  5 14  | 12  7  |  6 16  |  1  3  | 19 18  |  4  9  |  8 17  |
| 15 10  | 12 20  |  7  2  | 16  6  | 14  8  |  1  3  | 17 11  | 13  9  | 19 18  |  5  4  |
---------------------------------------------------------------------------------------------------------------
| 18 15  | 20 10  |  8  4  | 14  5  | 11  1  |  9  6  | 19 17  | 12  3  |  7 13  | 16  2  |
|  3  6  |  7  9  | 20  5  |  4 17  | 19 15  | 12 10  | 11 13  |  1  8  | 16  2  | 18 14  |
| 17 12  | 16 18  |  3  9  |  8  2  | 10 14  | 15 11  |  5  7  |  6  4  |  1 19  | 13 20  |
|  4  5  | 14 15  | 18 11  |  6 20  |  9 17  |  7  2  | 12 16  | 10 13  |  3  8  |  1 19  |
|  8 16  |  2  4  | 15  6  |  3 11  | 20 12  | 13 17  |  9  1  | 14 19  | 18 10  |  7  5  |
| 13 19  |  5 12  |  1  7  | 15 18  | 16  6  |  3  4  | 10  2  | 11 20  |  9 14  | 17  8  |
| 10  7  |  8 13  |  2 14  | 19  9  |  5  4  | 16  1  |  6 15  | 18 17  | 11 20  |  3 12  |
|  9 20  | 11  6  | 12 16  | 13  1  |  7  3  | 14 19  | 18  8  |  5  2  | 17  4  | 10 15  |
| 14 11  |  1  3  | 19 17  | 10 16  | 13  2  |  8 18  | 20  4  | 15  7  | 12  5  |  9  6  |
|  2  1  | 19 17  | 10 13  |  7 12  |  8 18  | 20  5  |  3 14  |  9 16  |  6 15  |  4 11  |
---------------------------------------------------------------------------------------------------------------
