---------------------------------------------------------------------------------------------------------------
|  7 12  | 13  6  |  2 17  |  3  4  |  9 18  | 20 10  | 11  5  | 15 16  | 14  1  |  8 19  |
| 10  8  |  7  2  |  4 13  |  6  1  |  3 17  | 18 14  | 20  9  |  5 19  | 12 15  | 16 11  |
|  6  1  |  5 19  |  7 16  |  2 11  | 20 15  |  3 17  | 18 14  |  4 12  | 13  8  | 10  9  |
|  3  9  | 11 17  | 15  1  | 13 19  |  6  8  | 12  4  |  2  7  | 20 10  | 16  5  | 14 18  |
| 19 15  | 12  4  |  5  6  |  7  9  | 13 10  | 16 11  | 17  3  | 14  8  | 20 18  |  1  2  |
| 16 13  |  1 10  |  9  3  |  8 20  |  4 14  |  5  2  | 12  6  | 18 11  | 17 19  | 15  7  |
| 14 18  |  3  8  | 12 10  | 16  5  |  7  1  |  9 15  | 13 19  | 17  6  | 11  2  | 20  4  |
| 11 20  |  9 15  |  8 19  | 18 14  |  5 12  |  6 13  |  4 16  |  2  1  | 10  7  | 17  3  |
|  4  5  | 16 18  | 14 20  | 17 10  |  2 11  | 19  1  | 15  8  | 13  7  |  3  9  | 12  6  |
| 17  2  | 14 20  | 18 11  | 12 15  | 19 16  |  8  7  |  1 10  |  9  3  |  4  6  |  5 13  |
---------------------------------------------------------------------------------------------------------------
|  5  6  | 19 16  | 20 12  |  1 17  | 10 13  | 14  8  |  9  2  | 11  4  |  7  3  | 18 15  |
| 15 19  |  6  7  | 10  5  |  4  8  | 12  3  | 13 16  | 14 17  |  1  9  | 18 11  |  2 20  |
| 13 14  |  8  5  | 16 15  | 20 18  |  1  6  |  4  3  | 19 12  |  7  2  |  9 10  | 11 17  |
| 18 17  | 15 14  |  6  4  |  5 13  |  8 19  | 10  9  |  7 11  | 12 20  |  2 16  |  3  1  |
|  1  4  |  2  9  | 13 18  | 11  6  | 15  5  | 17 19  | 16 20  |  3 14  |  8 12  |  7 10  |
|  2 10  |  4 13  | 19  8  | 14  3  | 17  7  | 11 12  |  6  1  | 16 18  | 15 20  |  9  5  |
|  9  3  | 17  1  | 11  2  | 19 16  | 18 20  |  7  6  |  8  4  | 10 15  |  5 14  | 13 12  |
| 20 11  | 18  3  | 17  7  |  9 12  | 16  2  |  1  5  | 10 15  |  8 13  | 19  4  |  6 14  |
| 12 16  | 10 11  |  3  9  | 15  7  | 14  4  |  2 20  |  5 18  |  6 17  |  1 13  | 19  8  |
|  8  7  | 20 12  |  1 14  | 10  2  | 11  9  | 15 18  |  3 13  | 19  5  |  6 17  |  4 16  |
---------------------------------------------------------------------------------------------------------------
