---------------------------------------------------------------------------------------------------------------
|  1  7  | 14 19  | 10 18  | 12  4  | 15  5  | 11  8  |  3  2  |  9 13  |  6 16  | 20 17  |
|  6 20  |  7  1  | 12 14  | 10  5  | 16  2  |  3  4  | 15  9  | 19 11  | 13 17  | 18  8  |
| 16 15  |  5 12  | 17 19  |  1  2  | 10  4  | 14 18  |  8 13  |  6 20  | 11  3  |  7  9  |
| 10 14  | 11 20  |  8  3  | 18 13  | 12  1  |  2  6  |  4  5  | 15 17  |  9  7  | 16 19  |
| 19  2  | 10  4  |  5  9  | 20 16  | 13 18  | 12  7  | 14 17  |  8  3  | 15  1  | 11  6  |
|  9 12  | 15  2  |  6  1  | 19  8  |  3 11  |  5 17  | 16  7  | 14  4  | 18 20  | 13 10  |
| 17 13  |  6  9  | 11  4  |  3 15  | 19  8  |  1 20  | 18 10  |  7 16  | 14  2  | 12  5  |
|  4  8  | 16  3  | 15 20  |  6 14  |  7 17  |  9 13  | 11 19  | 18  5  | 12 10  |  2  1  |
| 18  5  |  8 17  | 16 13  | 11  7  |  6  9  | 10 15  |  1 20  |  2 12  |  4 19  |  3 14  |
| 11  3  | 18 13  |  2  7  |  9 17  | 20 14  | 19 16  | 12  6  |  1 10  |  8  5  | 15  4  |
---------------------------------------------------------------------------------------------------------------
|  2 16  |  1  7  | 14  6  |  8  9  | 17 15  | 13 11  | 20 18  |  4 19  | 10 12  |  5  3  |
| 14 11  |  3 15  |  7  8  |  2 19  |  9 13  | 18 10  | 17 12  | 20  1  |  5  6  |  4 16  |
|  7  4  | 17 10  | 19  2  | 16 20  | 11  6  | 15  9  | 13  1  |  5 18  |  3 14  |  8 12  |
| 12 19  |  4 11  |  1 15  | 14  6  |  5 10  | 17  3  |  7 16  | 13  2  | 20  8  |  9 18  |
|  8  6  | 19 14  |  4 10  |  7  1  |  2 12  | 20  5  |  9  3  | 11 15  | 16 18  | 17 13  |
|  5 10  |  2 18  |  3 12  |  4 11  |  8  7  |  6  1  | 19 15  | 16  9  | 17 13  | 14 20  |
| 13  1  |  9  8  | 20 17  |  5 10  | 18 19  | 16 12  |  2 11  |  3 14  |  7  4  |  6 15  |
| 15 18  | 13  5  |  9 16  | 17  3  |  1 20  |  7 14  |  6  4  | 12  8  | 19 11  | 10  2  |
| 20 17  | 12 16  | 13 11  | 15 18  | 14  3  |  4 19  |  5  8  | 10  6  |  2  9  |  1  7  |
|  3  9  | 20  6  | 18  5  | 13 12  |  4 16  |  8  2  | 10 14  | 17  7  |  1 15  | 19 11  |
---------------------------------------------------------------------------------------------------------------
