---------------------------------------------------------------------------------------------------------------
| 11  3  | 14  2  |  7 13  | 16  5  | 20 18  | 19 12  |  4  8  |  6 17  |  9  1  | 15 10  |
| 14  4  |  1 13  | 19  5  | 17  9  | 12  8  |  7 20  |  6  3  | 11 18  | 15 10  |  2 16  |
| 18  5  | 10  3  | 14  1  | 15 11  | 19 17  | 13  4  | 12  7  |  8 20  |  2 16  |  9  6  |
| 16  6  |  8  4  | 12 18  |  1  7  | 11  3  | 17 15  | 20  9  | 10  2  |  5 19  | 13 14  |
| 13 20  |  5 15  |  2  9  | 18  4  | 16  6  | 11  3  | 19 10  |  1 12  |  8 14  | 17  7  |
|  2  1  | 11 12  |  3 20  | 19  6  |  7  5  | 14 10  | 17 15  | 16  9  |  4 13  |  8 18  |
| 15 19  |  9 20  |  8 17  |  3 13  |  1 10  |  6 16  | 11  2  |  4 14  | 18  7  |  5 12  |
| 10  7  | 16  6  | 15  4  | 14  8  |  9  2  |  1 18  |  5 13  | 19  3  | 17 12  | 11 20  |
| 17 12  |  7 19  | 16  6  |  2 10  | 13  4  |  9  8  | 14 18  | 15  5  | 11 20  |  1  3  |
|  9  8  | 17 18  | 10 11  | 20 12  | 15 14  |  2  5  | 16  1  | 13  7  |  3  6  |  4 19  |
---------------------------------------------------------------------------------------------------------------
|  7 15  | 18 10  |  6 12  |  9 19  |  3 11  |  5 14  |  8 16  |  2  4  |  1 17  | 20 13  |
| 19 16  |  4  5  | 20  3  | 13  2  | 17  9  |  8  6  | 18 14  | 12 11  | 10 15  |  7  1  |
|  6 14  | 19  7  |  9 16  |  8  3  |  2 12  | 10  1  | 15  4  |  5 13  | 20 11  | 18 17  |
|  8  2  |  3 14  |  4  7  | 12 20  | 10 13  | 15  9  |  1 17  | 18 16  | 19  5  |  6 11  |
|  3 10  | 15 16  |  5  2  |  7 17  |  8 20  |  4 11  | 13 12  | 14  1  |  6 18  | 19  9  |
|  1 11  |  6 17  | 13 19  |  4 16  |  5  7  | 18  2  |  9 20  |  3 10  | 12  8  | 14 15  |
| 12 13  | 20  1  | 18 15  |  6 14  |  4 19  |  3  7  |  2 11  | 17  8  | 16  9  | 10  5  |
|  4  9  | 13  8  | 11 10  |  5 18  |  6  1  | 12 17  |  7 19  | 20 15  | 14  3  | 16  2  |
|  5 17  |  2 11  |  1 14  | 10 15  | 18 16  | 20 13  |  3  6  |  9 19  |  7  4  | 12  8  |
| 20 18  | 12  9  | 17  8  | 11  1  | 14 15  | 16 19  | 10  5  |  7  6  | 13  2  |  3  4  |
---------------------------------------------------------------------------------------------------------------
