---------------------------------------------------------------------------------------------------------------
| 11  8  | 10  6  |  2  3  | 17 13  | 20  1  |  5 18  | 12  7  |  4 16  | 19 14  | 15  9  |
|  6 14  |  1  5  | 19 10  | 12  3  | 18 16  |  2 13  | 15  4  |  7 17  |  9  8  | 11 20  |
| 20  1  | 14 15  |  5 17  | 10  4  | 11  7  |  8  6  | 18 13  |  2  9  | 12  3  | 16 19  |
| 10 17  | 18 20  | 14 15  |  5 19  | 12  3  |  4  1  |  2  9  |  8 13  | 11 16  |  6  7  |
|  3 18  | 17 11  |  1  4  | 14  2  | 10  5  | 12  9  | 19 16  |  6 15  |  7 20  |  8 13  |
|  7 13  |  2  8  |  6 20  |  1 11  | 17  9  | 16 15  |  5  3  | 12 19  |  4 10  | 14 18  |
|  9 16  | 13  3  | 11  7  |  6 20  |  2  4  | 17 19  |  1  8  |  5 14  | 15 18  | 12 10  |
|  2  4  |  7  9  | 18 12  | 16 15  | 19  8  | 14  3  | 17 10  | 20 11  | 13  6  |  1  5  |
| 15 12  | 16 19  | 13  8  | 18  9  |  6 14  | 10  7  | 20 11  |  3  1  |  2  5  | 17  4  |
| 19  5  | 12  4  | 16  9  |  8  7  | 13 15  | 20 11  |  6 14  | 10 18  |  1 17  |  3  2  |
---------------------------------------------------------------------------------------------------------------
| 12 20  |  9  1  | 17 18  |  2 14  |  5 13  |  3  8  | 10  6  | 11  4  | 16 19  |  7 15  |
|  1  7  | 11 17  |  4  6  | 20 16  | 15 19  |  9  2  |  3 18  | 13  8  |  5 12  | 10 14  |
| 16 19  |  5 12  |  7 14  |  9 18  |  8 17  |  6 20  | 11  2  | 15  3  | 10 13  |  4  1  |
|  8  9  | 19 13  | 12 11  |  3  5  | 14  2  | 15 17  |  7  1  | 16 10  | 18  4  | 20  6  |
|  4 11  | 15  7  | 10 16  | 19 12  |  9  6  |  1 14  |  8 20  | 18  5  |  3  2  | 13 17  |
| 18 10  |  3 14  |  9  1  | 15 17  |  7 12  | 13  4  | 16  5  | 19 20  |  6 11  |  2  8  |
|  5 15  |  4 18  |  8  2  | 11 10  | 16 20  |  7 12  | 13 17  |  1  6  | 14  9  | 19  3  |
| 17  6  | 20 16  |  3 19  | 13  1  |  4 10  | 11  5  |  9 15  | 14  2  |  8  7  | 18 12  |
| 13  2  |  6 10  | 15  5  |  4  8  |  3 18  | 19 16  | 14 12  | 17  7  | 20  1  |  9 11  |
| 14  3  |  8  2  | 20 13  |  7  6  |  1 11  | 18 10  |  4 19  |  9 12  | 17 15  |  5 16  |
---------------------------------------------------------------------------------------------------------------
