---------------------------------------------------------------------------------------------------------------
| 17  1  | 16 14  | 20 18  |  7  2  | 19  4  |  5 13  |  6  8  | 12 15  |  3 11  |  9 10  |
|  6 12  | 10  2  | 16  8  |  3  4  | 14 17  |  9  1  |  5 19  | 20 18  | 15 13  | 11  7  |
| 15  2  | 17 20  |  9 11  | 13 14  | 12  3  |  7  4  |  1 10  |  5  8  | 18  6  | 19 16  |
|  9 14  | 15  6  | 17 13  | 10 19  | 11  7  | 12 16  |  2  4  |  1  3  |  8  5  | 20 18  |
| 11  8  | 18 12  |  7  3  | 16  9  |  5 20  | 19 17  | 13 15  | 10  6  |  2  1  |  4 14  |
| 16 10  |  8  5  | 15  6  | 20 11  | 13 18  |  3 14  |  7  9  |  4 19  | 17 12  |  1  2  |
|  7  3  |  1 11  | 10  5  | 17 18  |  8  9  | 20 15  | 14 16  | 13  2  |  4 19  |  6 12  |
| 13 20  |  7  3  |  4 19  |  5 15  |  1 10  |  6  2  | 12 18  |  9 11  | 14 16  |  8 17  |
| 18 19  |  4 13  |  1 12  |  6  8  | 15  2  | 11 10  | 20 17  | 14 16  |  9  7  |  5  3  |
|  4  5  | 19  9  | 14  2  | 12  1  | 16  6  |  8 18  |  3 11  |  7 17  | 10 20  | 15 13  |
---------------------------------------------------------------------------------------------------------------
| 12  9  | 13  8  |  2  4  | 11  3  | 18 15  | 17 20  | 10  6  | 19  1  |  7 14  | 16  5  |
|  5 16  | 12 10  | 13  7  | 18 20  |  4 11  |  1  8  | 15 14  | 17  9  |  6  2  |  3 19  |
| 19  7  | 11 16  | 12 15  |  4 13  | 17 14  | 10  9  |  8  2  |  6  5  |  1  3  | 18 20  |
| 10 15  |  9 19  |  3 16  |  2 12  |  6  5  | 14 11  | 18  7  |  8 13  | 20  4  | 17  1  |
|  1  6  | 20  7  | 11 17  |  8 16  |  9 13  |  4 12  | 19  3  |  2 10  |  5 18  | 14 15  |
|  3 13  |  6  1  |  5 10  | 14  7  | 20 16  | 15 19  |  9 12  | 18  4  | 11 17  |  2  8  |
| 14  4  |  5 15  | 19  9  |  1 10  |  2 12  | 18  3  | 17 20  | 11  7  | 16  8  | 13  6  |
|  2 18  | 14  4  |  6 20  | 15 17  | 10  8  | 13  5  | 16  1  |  3 12  | 19  9  |  7 11  |
|  8 11  |  2 17  | 18 14  | 19  6  |  3  1  | 16  7  |  4  5  | 15 20  | 13 10  | 12  9  |
| 20 17  |  3 18  |  8  1  |  9  5  |  7 19  |  2  6  | 11 13  | 16 14  | 12 15  | 10  4  |
---------------------------------------------------------------------------------------------------------------
