---------------------------------------------------------------------------------------------------------------
| 16 17  | 10  6  | 11 18  |  7  5  |  4 19  |  8  1  | 13 15  | 14  9  | 20 12  |  2  3  |
| 20  8  |  5 11  |  3 15  | 14 12  | 17  1  |  7 18  | 16 10  |  2  4  | 13  9  | 19  6  |
|  2  5  | 17 20  |  7  8  |  9  3  | 12 14  |  6  4  | 18  1  | 11 10  | 16 19  | 13 15  |
| 14  3  | 18  4  |  1  6  | 11  8  | 13 16  |  9 20  |  7 17  | 12 19  |  2 15  |  5 10  |
| 12 18  | 15  8  |  4 19  | 17 16  |  3  7  | 13 11  | 20  2  |  6  1  | 10  5  |  9 14  |
| 13  9  | 14  2  |  5 16  |  1  6  | 15  8  |  3 10  | 11 19  | 20  7  | 18 17  |  4 12  |
|  4  1  | 12 19  |  2 14  | 18 15  |  5 10  | 16 17  |  8  9  | 13  3  | 11  6  | 20  7  |
| 19 10  |  3  1  |  9 17  |  2 13  | 20 11  | 15 14  | 12  6  | 16  5  |  7  4  | 18  8  |
| 11  7  |  9 13  | 10 20  |  4 19  |  6  2  | 12  5  | 14  3  | 15 18  |  1  8  | 16 17  |
| 15  6  | 16  7  | 12 13  | 20 10  |  9 18  |  2 19  |  5  4  |  8 17  |  3 14  | 11  1  |
---------------------------------------------------------------------------------------------------------------
|  6  4  | 19 17  | 13 12  |  3  2  |  8 20  | 10  7  | 15 16  |  5 11  | 14 18  |  1  9  |
|  8 12  |  7  3  | 17  9  | 19  1  | 10 15  |  5 16  |  2 13  | 18 20  |  6 11  | 14  4  |
|  3 16  |  8 12  | 18  1  | 10 11  | 14  5  | 20  9  | 19  7  |  4 15  | 17  2  |  6 13  |
|  1 11  |  4  9  |  6  2  | 13  7  | 16  3  | 17 15  | 10  8  | 19 14  |  5 20  | 12 18  |
|  9 15  |  1 14  | 19  3  | 16 17  | 11 13  | 18  2  |  4  5  | 10  6  | 12  7  |  8 20  |
| 17 14  |  6 16  | 15  4  |  8 20  |  2 12  | 11  3  |  1 18  |  9 13  | 19 10  |  7  5  |
|  7  2  | 20 15  | 14 11  |  5  4  | 18  9  |  1 13  |  6 12  | 17 16  |  8  3  | 10 19  |
|  5 19  | 11 18  | 16 10  | 12  9  |  1 17  | 14  6  |  3 20  |  7  8  |  4 13  | 15  2  |
| 10 13  |  2  5  | 20  7  | 15 18  | 19  6  |  4  8  | 17 14  |  1 12  |  9 16  |  3 11  |
| 18 20  | 13 10  |  8  5  |  6 14  |  7  4  | 19 12  |  9 11  |  3  2  | 15  1  | 17 16  |
---------------------------------------------------------------------------------------------------------------
