---------------------------------------------------------------------------------------------------------------
|  4  9  | 18  2  | 17 13  |  6 20  | 11  8  | 16  3  | 10  1  | 19 15  | 12  7  |  5 14  |
| 11 17  |  4  9  |  2  8  |  5  3  | 13 16  | 15  7  | 18 19  | 14 20  |  1  6  | 12 10  |
| 20 16  | 12 17  |  4  1  |  2 14  | 18  7  | 13 11  |  3  9  |  8  6  |  5 10  | 19 15  |
|  1 14  | 20 15  | 12 19  |  4 13  |  2  3  | 18  8  | 16  5  |  9 10  | 11 17  |  6  7  |
|  5 15  | 16  8  |  3  7  | 12 17  |  4  1  |  2 10  |  6 14  | 18 13  |  9 19  | 11 20  |
| 10  6  | 11 19  | 20 15  |  8 16  | 12  9  |  4  5  |  2  7  |  3  1  | 18 14  | 17 13  |
|  7 18  |  5  6  | 11  9  | 15 10  | 20 19  |  1 14  | 13  8  | 12 17  |  3  2  |  4 16  |
|  8 19  | 14  1  | 18  5  |  9 11  | 10 17  | 12  6  |  4 15  |  7 16  | 13 20  |  3  2  |
|  3  2  |  7 13  |  6 10  | 19 18  | 15 14  |  9 17  | 12 20  |  5 11  | 16  4  |  1  8  |
| 13 12  |  3 10  | 14 16  |  1  7  |  5  6  | 19 20  | 17 11  |  4  2  | 15  8  |  9 18  |
---------------------------------------------------------------------------------------------------------------
|  9  8  |  1 11  | 19 17  | 16  2  |  6 12  |  5 13  |  7  3  | 20 14  | 10 15  | 18  4  |
| 19  7  |  6  3  |  1 11  | 17  5  | 14  4  | 10  9  | 20  2  | 16 18  |  8 13  | 15 12  |
| 18 11  |  9  4  |  7 14  | 13 12  | 16  2  | 17 19  |  8 10  | 15  3  |  6  1  | 20  5  |
| 15  5  | 19 16  |  9  3  | 14  6  | 17 13  |  8 12  |  1  4  | 10  7  | 20 18  |  2 11  |
| 14  3  |  2 20  |  5  6  | 11  1  |  9 15  |  7 18  | 19 16  | 13  8  |  4 12  | 10 17  |
| 16 13  |  8 18  | 10 20  |  7  9  |  1 11  |  3  4  | 15 12  |  2 19  | 17  5  | 14  6  |
|  2  4  | 15 14  | 16 12  | 10 19  |  8 20  |  6  1  |  9 18  | 17  5  |  7 11  | 13  3  |
|  6 20  | 17 12  |  8  4  | 18 15  | 19 10  | 14 16  |  5 13  | 11  9  |  2  3  |  7  1  |
| 17 10  | 13  7  | 15 18  | 20  4  |  3  5  | 11  2  | 14  6  |  1 12  | 19 16  |  8  9  |
| 12  1  | 10  5  | 13  2  |  3  8  |  7 18  | 20 15  | 11 17  |  6  4  | 14  9  | 16 19  |
---------------------------------------------------------------------------------------------------------------
