---------------------------------------------------------------------------------------------------------------
| 13 10  | 15 17  |  8 20  |  6  2  | 19  3  |  1 16  | 18  5  | 11 12  |  9  7  | 14  4  |
| 12  2  |  6  5  | 11 18  | 17  3  | 13  7  |  4  8  | 14 16  | 15  1  | 20 19  |  9 10  |
| 16  7  |  3 19  | 15  6  | 13 12  |  1 14  |  2 20  |  8  9  |  5 18  | 10  4  | 17 11  |
| 18 15  | 12 10  |  7 16  | 11 14  | 17  4  | 19  3  |  1  6  |  9 13  |  5  2  | 20  8  |
|  6  4  | 14 18  | 13 17  | 15  9  | 12  8  | 11  5  | 19  3  | 10 20  |  1 16  |  7  2  |
|  1 14  | 16  4  | 10 19  |  8 20  | 15  6  | 13  9  | 12 11  |  7  2  | 18 17  |  5  3  |
|  3  9  |  7  2  | 14  4  | 10 19  |  5 16  | 18 15  | 13 20  | 17  6  | 11  8  |  1 12  |
| 17 19  |  9 20  |  2  3  |  5  1  | 11 10  |  6 12  | 15  7  |  8  4  | 13 14  | 18 16  |
|  8 20  | 13 11  |  5  1  | 16  7  | 18  9  | 10 17  |  4  2  | 19 14  | 12  3  | 15  6  |
|  5 11  |  1  8  |  9 12  |  4 18  | 20  2  | 14  7  | 10 17  | 16  3  |  6 15  | 19 13  |
---------------------------------------------------------------------------------------------------------------
|  2 16  | 20  6  | 19  5  |  9  4  |  7 13  | 15 14  |  3  8  | 12 10  | 17  1  | 11 18  |
| 20  5  | 17  3  |  4 11  | 18 15  | 16 19  |  7  1  |  9 10  |  6  8  |  2 12  | 13 14  |
|  7  1  | 11 16  |  6  2  |  3 10  |  8 18  | 17  4  | 20 14  | 13  5  | 15  9  | 12 19  |
| 15 17  |  5  7  |  1  9  | 12  6  |  3 11  |  8 13  |  2 18  | 14 19  |  4 10  | 16 20  |
|  4  8  | 18  1  | 20 10  |  2  5  |  9 17  | 16 19  |  7 12  |  3 11  | 14 13  |  6 15  |
| 14 12  | 19 15  | 17 13  | 20 16  |  6  5  |  3 10  | 11  4  |  2  9  |  7 18  |  8  1  |
| 10 13  |  4 12  | 16 14  |  1 11  |  2 20  |  9  6  | 17 19  | 18 15  |  8  5  |  3  7  |
| 11 18  | 10 13  | 12  7  | 19  8  | 14 15  |  5  2  | 16  1  | 20 17  |  3  6  |  4  9  |
| 19  3  |  8  9  | 18 15  | 14 17  | 10  1  | 12 11  |  6 13  |  4  7  | 16 20  |  2  5  |
|  9  6  |  2 14  |  3  8  |  7 13  |  4 12  | 20 18  |  5 15  |  1 16  | 19 11  | 10 17  |
---------------------------------------------------------------------------------------------------------------
