---------------------------------------------------------------------------------------------------------------
|  8 14  | 13  9  | 19 10  | 17 11  |  7 12  |  3  4  | 15 16  | 20  5  |  6  1  |  2 18  |
| 19 12  | 14 20  |  8  2  |  9 10  | 15 16  | 11 13  |  7 17  |  4  3  | 18  5  |  6  1  |
|  3 15  | 12  6  |  1  9  | 20 16  |  2 11  |  7  5  | 19 18  | 17  8  |  4 14  | 10 13  |
| 13  7  | 15  1  | 11  5  |  2 19  |  9 18  | 17 16  | 20 10  | 14  6  |  3 12  |  4  8  |
| 11 10  | 19  2  | 13 14  | 12  8  |  4  3  |  6 20  |  5  1  | 18 16  | 17 15  |  7  9  |
|  1  9  |  7 10  |  4  3  |  5 18  | 17 20  |  2  8  | 11  6  | 19 15  | 16 13  | 14 12  |
|  2 17  |  4  5  |  6  7  | 13 15  | 19  8  |  9 18  | 14  3  |  1 12  | 20 10  | 16 11  |
|  4  5  | 11 16  | 17 18  |  3  6  | 13 10  |  1 14  |  8 12  |  7  2  |  9 19  | 20 15  |
|  6 16  | 17 18  | 15 20  |  4  7  | 14  1  | 19 12  |  2  9  | 13 10  |  8 11  |  3  5  |
| 18 20  |  3  8  | 12 16  |  1 14  |  6  5  | 10 15  |  4 13  |  9 11  |  7  2  | 19 17  |
---------------------------------------------------------------------------------------------------------------
|  9 13  | 18 17  | 16 12  |  6  1  |  3 14  | 20 11  | 10  5  | 15 19  |  2  7  |  8  4  |
| 14 11  |  2  4  | 20 13  | 16  3  |  8  6  | 12  7  | 17 19  |  5 18  |  1  9  | 15 10  |
| 10  8  |  9 11  | 18 15  | 14 12  | 16  4  | 13 19  |  6  7  |  2  1  |  5  3  | 17 20  |
| 17  2  | 10 19  |  9  4  | 11 13  | 12  7  |  8  1  | 18 14  |  6 20  | 15 16  |  5  3  |
|  5  3  |  8 12  | 10 17  | 19  9  | 11  2  | 14  6  |  1 15  | 16  4  | 13 20  | 18  7  |
|  7  1  | 16 13  |  5 11  | 18 17  | 20  9  | 15 10  |  3  2  |  8 14  | 19  4  | 12  6  |
| 12  6  |  5  7  |  3 19  | 10  4  |  1 15  | 18  2  | 13 20  | 11 17  | 14  8  |  9 16  |
| 20  4  |  6 14  |  7  8  | 15  5  | 18 19  | 16  3  |  9 11  | 10 13  | 12 17  |  1  2  |
| 16 19  |  1 15  |  2  6  |  7 20  |  5 13  |  4 17  | 12  8  |  3  9  | 10 18  | 11 14  |
| 15 18  | 20  3  | 14  1  |  8  2  | 10 17  |  5  9  | 16  4  | 12  7  | 11  6  | 13 19  |
---------------------------------------------------------------------------------------------------------------
