---------------------------------------------------------------------------------------------------------------
|  2  4  |  8  9  | 17  1  | 10  5  | 14 11  |  6  3  | 19  7  | 12 16  | 18 15  | 13 20  |
|  5 19  | 13  2  |  8 16  |  4 14  | 20 17  | 12  1  |  6  9  | 18 15  | 10 11  |  7  3  |
|  6 18  |  4 16  |  9 10  | 15 19  | 12  3  | 14  7  |  1 11  | 17  2  | 13 20  |  8  5  |
| 20  1  | 18  3  |  5 13  |  7 17  |  4 15  |  8  2  | 14 10  |  6 19  | 12 16  |  9 11  |
|  7 16  | 10 17  |  4 20  | 18 11  |  9  6  |  5 13  | 12  8  | 14  1  |  3 19  | 15  2  |
| 10 17  | 12  5  |  3  2  |  9 13  |  1 16  |  4 11  | 15 18  |  7 20  | 14  8  | 19  6  |
|  9 13  | 20  6  | 19 12  | 16  8  | 10  5  | 18 15  |  4  2  | 11  3  |  1  7  | 14 17  |
|  8  3  | 19 15  | 11 14  |  1 12  | 13  7  | 10  9  | 17 20  |  4  5  |  6  2  | 18 16  |
| 11 14  |  1  7  | 18 15  | 20  6  | 19  2  | 17 16  | 13  3  | 10  8  |  5  9  | 12  4  |
| 15 12  | 11 14  |  6  7  |  2  3  |  8 18  | 19 20  | 16  5  |  9 13  |  4 17  |  1 10  |
---------------------------------------------------------------------------------------------------------------
| 12  7  | 14 19  | 20  3  |  8  9  |  5 13  |  1  6  |  2 16  | 15 11  | 17 10  |  4 18  |
| 17 10  |  2 11  | 12 18  | 14 20  | 16  1  |  3  5  |  9 19  | 13  7  | 15  4  |  6  8  |
|  3 20  |  6 18  | 10  4  | 19 15  |  2  8  | 13 17  |  5  1  | 16 12  |  7 14  | 11  9  |
|  1  5  |  9  8  |  2  6  | 11 10  |  7 14  | 16  4  | 18 15  | 19 17  | 20 12  |  3 13  |
| 19 15  | 16  1  | 14 17  |  5 18  | 11 12  | 20  8  |  3  6  |  2  4  |  9 13  | 10  7  |
| 18  6  | 17 20  | 15  9  | 13  7  |  3 19  | 11 10  |  8  4  |  5 14  | 16  1  |  2 12  |
| 16  8  |  3  4  | 13 19  | 17  2  | 18 20  |  9 14  |  7 12  |  1 10  | 11  6  |  5 15  |
| 14 11  |  7 12  | 16  8  |  3  1  |  6  4  | 15 18  | 10 13  | 20  9  |  2  5  | 17 19  |
| 13  2  |  5 10  |  1 11  |  6  4  | 15  9  |  7 12  | 20 17  |  8 18  | 19  3  | 16 14  |
|  4  9  | 15 13  |  7  5  | 12 16  | 17 10  |  2 19  | 11 14  |  3  6  |  8 18  | 20  1  |
---------------------------------------------------------------------------------------------------------------
