---------------------------------------------------------------------------------------------------------------
|  8 20  |  2 10  | 19 11  |  5  1  | 15  7  |  4 16  |  9 12  |  3 14  | 13  6  | 17 18  |
|  5  3  | 13 20  | 14  1  | 19 11  | 17  4  |  7 12  | 16 10  |  6  9  |  8 18  |  2 15  |
| 12  2  |  8  6  | 10  9  | 16  4  | 11  5  | 19 20  | 18 14  | 17 13  |  1 15  |  3  7  |
|  7 16  | 19  3  |  2 13  |  6 12  |  1  8  | 17 18  | 11  4  |  5 15  | 14  9  | 20 10  |
| 17 15  |  5 16  | 20 18  | 13  8  |  3  6  |  1 11  |  7  2  | 10  4  | 19 12  |  9 14  |
| 11  9  | 12 17  |  4  6  | 10  2  | 18 19  |  3 14  | 13 15  | 16  7  | 20  5  |  1  8  |
| 10 18  |  1  9  |  5 12  | 17 15  | 16 14  | 13  2  |  3 19  |  8 20  |  4  7  |  6 11  |
|  6 13  | 11  7  | 15  3  | 18 14  | 12  2  |  5  9  | 20  8  | 19  1  | 10 17  |  4 16  |
| 14 19  |  4 15  |  8 16  |  3  7  | 20  9  |  6 10  | 17  1  | 12 18  | 11  2  | 13  5  |
|  1  4  | 18 14  |  7 17  | 20  9  | 13 10  | 15  8  |  5  6  |  2 11  |  3 16  | 19 12  |
---------------------------------------------------------------------------------------------------------------
|  9  1  |  6 19  | 18 20  | 14  3  |  2 15  | 11 13  |  4  5  |  7 12  | 16 10  |  8 17  |
| 20  7  |  9  4  |  3 14  |  1 18  |  5 11  | 10  6  | 19 17  | 15 16  |  2  8  | 12 13  |
| 18 10  |  7 11  |  6 19  |  2 20  | 14  3  | 16 15  |  8  9  | 13 17  | 12  1  |  5  4  |
| 13  8  | 20  5  | 17 10  |  7 19  |  4 12  | 18  3  | 15 11  |  9  2  |  6 14  | 16  1  |
| 19  6  | 10 12  |  9  7  |  4 16  |  8 20  | 14  1  |  2 13  | 18  5  | 17 11  | 15  3  |
|  2 17  | 15 18  |  1  8  | 12 10  | 19 13  | 20  5  |  6 16  | 11  3  |  7  4  | 14  9  |
|  4  5  | 17 13  | 12  2  |  8  6  | 10 16  |  9  7  |  1 18  | 14 19  | 15  3  | 11 20  |
| 16 14  |  3  1  | 11  4  | 15 17  |  9 18  |  2 19  | 12  7  | 20  8  |  5 13  | 10  6  |
|  3 11  | 16  8  | 13 15  |  9  5  |  6 17  | 12  4  | 14 20  |  1 10  | 18 19  |  7  2  |
| 15 12  | 14  2  | 16  5  | 11 13  |  7  1  |  8 17  | 10  3  |  4  6  |  9 20  | 18 19  |
---------------------------------------------------------------------------------------------------------------
