---------------------------------------------------------------------------------------------------------------
| 16  3  |  1  7  | 14  9  | 13 11  | 17 15  |  4  5  |  2 10  |  6 12  |  8 19  | 20 18  |
| 12 10  |  3 14  |  4 11  | 18 19  |  5  6  | 15  9  |  1 17  | 16  8  |  2 20  | 13  7  |
|  4  2  | 10 12  | 17  5  | 14  1  | 18 20  | 19  8  |  9 13  | 15  7  | 16  6  | 11  3  |
| 14 18  |  4  9  | 15  3  |  6 10  |  1  2  | 17 11  | 19 20  | 13  5  | 12  7  |  8 16  |
| 15  7  | 16 19  |  1 10  |  5  4  | 14  9  | 13 12  | 11  8  |  2 20  |  3 18  |  6 17  |
|  6  8  | 18  2  | 12  7  |  9  3  |  4 10  | 14 20  | 16  5  | 11 17  | 13 15  | 19  1  |
| 11  5  | 13  8  |  2 18  | 12 20  |  3 19  |  6 16  | 15  7  |  9  1  | 17  4  | 14 10  |
| 20  9  | 11 17  | 16  6  |  2 15  | 13  8  |  1  7  | 12  3  | 19 18  | 14 10  |  4  5  |
| 13 19  |  6 15  |  8 20  | 16 17  | 11  7  |  2  3  | 14 18  | 10  4  |  1  5  |  9 12  |
| 17  1  |  5 20  | 13 19  |  8  7  | 12 16  | 10 18  |  6  4  | 14  3  | 11  9  |  2 15  |
---------------------------------------------------------------------------------------------------------------
|  3 16  | 17 11  |  5  8  | 15 18  | 20  4  |  9  2  | 13 19  |  1 10  |  6 12  |  7 14  |
| 18  4  |  7 10  | 19 14  |  3  5  |  8 13  | 16 15  | 20  1  | 17  2  |  9 11  | 12  6  |
|  7 15  | 20  6  |  3 13  |  4 12  | 19  5  | 11 17  | 10 14  |  8  9  | 18  1  | 16  2  |
|  8 13  | 19  3  | 10  1  | 17 16  |  6 11  | 20 14  | 18  9  | 12 15  |  7  2  |  5  4  |
| 10 20  | 15 18  |  7 17  | 11 13  | 16  3  | 12 19  |  8  2  |  5  6  |  4 14  |  1  9  |
|  9  6  | 12  4  | 20 16  |  7  8  |  2 14  |  5  1  | 17 11  | 18 19  | 10  3  | 15 13  |
|  5 12  | 14 13  |  6 15  | 20  2  |  9  1  | 18  4  |  3 16  |  7 11  | 19 17  | 10  8  |
|  2 14  |  8  1  | 11  4  | 19  9  | 10 17  |  7  6  |  5 12  |  3 16  | 15 13  | 18 20  |
|  1 11  |  2 16  |  9 12  | 10  6  |  7 18  |  3 13  |  4 15  | 20 14  |  5  8  | 17 19  |
| 19 17  |  9  5  | 18  2  |  1 14  | 15 12  |  8 10  |  7  6  |  4 13  | 20 16  |  3 11  |
---------------------------------------------------------------------------------------------------------------
