---------------------------------------------------------------------------------------------------------------
| 11 18  |  6 19  |  3 12  |  8 16  |  1  2  |  9 14  | 20 17  | 13  5  | 15  4  | 10  7  |
| 12 17  | 11 14  | 10 13  | 15  5  |  8  7  | 19 16  |  9 18  |  2 20  |  1  6  |  4  3  |
|  9  7  | 17 10  |  8  6  | 20 19  | 11 15  | 18 12  |  2  1  | 16  4  |  5  3  | 14 13  |
| 10 15  |  9  8  | 11 20  |  6 18  |  5  3  |  1  2  |  4 12  | 17 14  | 13  7  | 16 19  |
|  4 16  | 15 20  | 17  5  | 10 11  | 13  6  |  8  7  | 19 14  |  1  3  | 18  2  |  9 12  |
| 19 13  |  4 18  | 15  9  |  2  3  | 10 16  | 11  6  |  8  5  | 12  7  | 14 17  |  1 20  |
|  3  1  |  5 12  | 19  2  | 14 17  | 20 18  | 10  4  |  7 13  |  8  9  | 16 11  |  6 15  |
| 14  5  |  2 16  | 18  1  | 12  7  | 19  4  | 13 20  | 11  3  | 15  6  |  9 10  | 17  8  |
|  2  6  |  1  7  | 16  4  |  9 13  | 12 14  |  3 17  | 10 15  | 11 19  | 20  8  |  5 18  |
|  8 20  |  3 13  | 14  7  |  4  1  | 17  9  | 15  5  | 16  6  | 18 10  | 19 12  | 11  2  |
---------------------------------------------------------------------------------------------------------------
| 20 14  | 19  5  |  4 17  |  7 10  | 16  1  | 12 13  | 15  8  |  9 11  |  3 18  |  2  6  |
|  6 12  | 16  4  |  5 10  |  1 15  |  2 20  | 14 11  |  3  7  | 19  8  | 17 13  | 18  9  |
|  7  3  | 14 15  | 12 16  |  5  4  |  9 10  |  2  1  | 13 20  |  6 18  | 11 19  |  8 17  |
| 18  9  | 13  1  |  6 11  | 17 12  | 14  8  | 20 10  |  5  2  |  3 15  |  7 16  | 19  4  |
| 17 11  | 18  3  |  1 14  | 13  8  |  4  5  |  7  9  |  6 19  | 20  2  | 10 15  | 12 16  |
| 16 19  | 20 11  | 13  3  | 18  6  | 15 12  |  4  8  |  1  9  | 10 17  |  2 14  |  7  5  |
|  5 10  | 12 17  | 20 18  | 11  2  |  7 19  |  6 15  | 14 16  |  4 13  |  8  9  |  3  1  |
| 13  8  |  7  6  |  2 19  | 16  9  | 18 11  |  5  3  | 17  4  | 14  1  | 12 20  | 15 10  |
|  1  4  |  8  2  |  9 15  | 19 14  |  3 13  | 17 18  | 12 10  |  7 16  |  6  5  | 20 11  |
| 15  2  | 10  9  |  7  8  |  3 20  |  6 17  | 16 19  | 18 11  |  5 12  |  4  1  | 13 14  |
---------------------------------------------------------------------------------------------------------------
