---------------------------------------------------------------------------------------------------------------
| 11  8  | 19  3  |  4  6  | 14  9  | 16  2  | 17  7  | 18 15  |  5 20  |  1 12  | 10 13  |
| 12 16  | 15  7  | 13  5  |  8  4  | 17  1  |  2  9  | 11 19  | 18 10  | 20 14  |  6  3  |
|  2  6  |  8  4  | 18  1  | 11 20  |  9 10  | 14 12  |  5  3  | 17 13  | 15  7  | 16 19  |
| 15  3  | 12  1  | 19  8  |  5 10  | 18  7  | 11 20  | 14 17  |  6  9  | 13 16  |  4  2  |
| 10  4  | 14  6  |  7 15  | 17 19  |  5  8  | 16 18  |  9 13  |  1 12  |  3  2  | 20 11  |
|  5 18  | 10 17  | 12 14  |  1  7  |  4 11  |  3 13  | 20 16  | 15  2  |  6 19  |  9  8  |
|  1 14  |  5 11  |  3 10  |  6 13  | 15 20  |  4  8  |  7  2  | 16 19  |  9 17  | 18 12  |
| 13 19  | 20  2  | 11  9  | 15 16  | 12 14  |  5  1  |  8  6  |  3  4  | 10 18  | 17  7  |
|  9  7  | 16 18  | 17 20  |  3  2  |  6 13  | 15 19  | 12 10  |  8 14  |  4 11  |  1  5  |
| 17 20  | 13  9  |  2 16  | 18 12  |  3 19  | 10  6  |  1  4  | 11  7  |  5  8  | 15 14  |
---------------------------------------------------------------------------------------------------------------
| 14  2  |  7  5  |  8  4  | 13 15  | 11  6  | 20 16  | 19 18  |  9 17  | 12  1  |  3 10  |
| 19  9  |  2 12  |  1 13  | 16  6  | 10  3  | 18  4  | 17  5  |  7  8  | 11 20  | 14 15  |
|  6 10  | 17 19  | 14  7  |  9  1  | 20 15  | 12 11  |  2  8  | 13 18  | 16  3  |  5  4  |
| 16 13  | 11  8  |  5  2  |  7 17  | 14  4  |  9 15  |  6 12  | 20  3  | 18 10  | 19  1  |
| 20  5  |  6 13  | 10 19  |  2  3  |  8 18  |  1 14  | 15  9  | 12 16  |  7  4  | 11 17  |
|  4 15  |  1 10  | 20 12  | 19 14  | 13  9  |  8  3  | 16 11  |  2  6  | 17  5  |  7 18  |
|  7 17  |  3 15  |  6 11  | 12 18  |  2 16  | 13 10  |  4  1  | 14  5  | 19  9  |  8 20  |
| 18 11  |  4 14  | 16 17  | 10  5  |  1 12  |  7  2  |  3 20  | 19 15  |  8  6  | 13  9  |
|  3  1  |  9 16  | 15 18  | 20  8  |  7 17  | 19  5  | 10 14  |  4 11  |  2 13  | 12  6  |
|  8 12  | 18 20  |  9  3  |  4 11  | 19  5  |  6 17  | 13  7  | 10  1  | 14 15  |  2 16  |
---------------------------------------------------------------------------------------------------------------
