---------------------------------------------------------------------------------------------------------------
|  9 14  | 15  4  |  1 20  | 12  2  | 17 13  | 11  3  |  8 16  | 19 18  |  6 10  |  5  7  |
| 20 13  | 17  7  |  9 18  |  8  1  | 12  3  |  6 10  | 11 14  |  2  5  | 19 15  | 16  4  |
|  6 19  |  9 20  | 14  3  | 13 17  |  1  8  | 18  2  |  7 15  | 16  4  | 12  5  | 10 11  |
| 15  1  |  2 11  |  5 10  |  6  3  | 18 20  | 17  8  | 12 19  | 14  7  |  4 16  |  9 13  |
|  2  3  |  6 19  | 15 13  | 14 18  |  5 16  | 12 20  | 17  4  | 10 11  |  7  9  |  8  1  |
|  5 12  | 13  1  |  2 11  | 16 20  | 14 15  |  7  4  | 10  3  | 17  9  | 18  8  | 19  6  |
| 11  8  |  3 16  |  6 12  | 15  7  |  4 10  | 14 19  |  9  5  | 20 13  | 17  1  | 18  2  |
| 18 10  | 14  8  |  7 16  |  9  4  |  6 19  |  5 15  | 20  2  | 12  1  | 13 11  | 17  3  |
| 17  4  | 18 12  |  8 19  |  5 10  |  7 11  | 16  9  |  1 13  | 15  6  |  2  3  | 14 20  |
| 16  7  | 10  5  |  4 17  | 19 11  |  2  9  | 13  1  |  6 18  |  8  3  | 14 20  | 15 12  |
---------------------------------------------------------------------------------------------------------------
| 14 17  |  4  6  | 20  9  | 11  5  |  8  1  | 10  7  |  3 12  | 13 15  | 16 19  |  2 18  |
|  4  9  | 16 17  | 10  7  |  1 19  | 11  6  |  2  5  | 15 20  | 18 12  |  8 13  |  3 14  |
| 13  2  | 12 14  |  3 15  | 18 16  | 19 17  | 20 11  |  5  7  |  4  8  |  9  6  |  1 10  |
|  7  5  |  8  2  | 17  4  |  3  9  | 15 14  | 19  6  | 18 10  | 11 20  |  1 12  | 13 16  |
|  3  6  |  7  9  | 19  2  | 20 14  | 10  4  |  1 13  | 16 11  |  5 17  | 15 18  | 12  8  |
|  8 16  |  1  3  | 12 14  |  2 13  |  9 18  | 15 17  | 19  6  |  7 10  | 20  4  | 11  5  |
| 19 11  |  5 13  | 16  6  |  7  8  |  3 12  |  9 18  |  4 17  |  1  2  | 10 14  | 20 15  |
|  1 20  | 19 10  | 18  8  |  4 15  | 16  5  |  3 12  | 13  9  |  6 14  | 11  2  |  7 17  |
| 10 15  | 20 18  | 11  1  | 17 12  | 13  2  |  4 16  | 14  8  |  3 19  |  5  7  |  6  9  |
| 12 18  | 11 15  | 13  5  | 10  6  | 20  7  |  8 14  |  2  1  |  9 16  |  3 17  |  4 19  |
---------------------------------------------------------------------------------------------------------------
