---------------------------------------------------------------------------------------------------------------
|  3  5  |  2 12  | 13  8  | 16 20  |  6  4  |  1 10  | 14 19  | 11 15  | 17 18  |  9  7  |
|  4  8  |  5 20  | 15 17  |  2 18  |  1 13  | 19  7  | 12  6  | 14 10  |  9 11  | 16  3  |
|  7 10  | 11 18  |  4  2  |  3 14  | 20  5  |  6 17  |  1 16  | 19  9  | 15 13  | 12  8  |
| 15 12  |  3  1  | 19 11  |  4 10  | 18 14  |  2  5  | 13  9  | 17  7  | 16  8  | 20  6  |
|  2  9  | 15 14  | 12 10  |  8  6  |  7 17  |  4 18  | 20  5  | 13 16  | 19  3  | 11  1  |
| 14 18  |  9  8  |  7  1  | 13  5  |  2 10  | 16 12  | 11 17  |  6  3  |  4 20  | 19 15  |
| 16  1  |  4  7  |  9 18  | 12 15  |  8 19  | 13 11  |  2  3  |  5 20  |  6 14  | 17 10  |
| 11 13  | 10 19  | 20  6  | 17  7  | 12 16  |  9  3  |  4 15  |  2  8  |  5  1  | 14 18  |
| 19 17  | 13  6  | 14 16  |  9 11  | 15  3  |  8 20  | 10  7  | 18  1  |  2 12  |  5  4  |
| 20  6  | 16 17  |  3  5  |  1 19  | 11  9  | 15 14  | 18  8  |  4 12  |  7 10  |  2 13  |
---------------------------------------------------------------------------------------------------------------
| 13  4  | 14 15  | 10  9  |  6 17  | 16 20  |  5 19  |  7  1  |  3 18  | 11  2  |  8 12  |
| 10 11  | 18  9  |  1 15  | 14  8  | 17 12  | 20  4  | 19  2  | 16 13  |  3  6  |  7  5  |
| 17  7  | 20 10  | 18  3  | 11  9  | 14 15  | 12 16  |  5  4  |  8  6  |  1 19  | 13  2  |
| 12 14  |  6  4  | 17  7  | 10  3  |  9  1  | 11 15  | 16 13  | 20  2  |  8  5  | 18 19  |
| 18 16  |  1 11  |  5  4  | 15  2  | 10  8  | 14  9  |  3 20  | 12 19  | 13  7  |  6 17  |
|  8 19  | 17 16  | 11 14  | 18  4  |  3  2  | 10 13  |  6 12  |  7  5  | 20 15  |  1  9  |
|  9 15  |  7  3  | 16 12  | 19 13  |  5  6  | 17  2  |  8 14  |  1 11  | 18  4  | 10 20  |
|  5  3  | 19  2  |  6 20  |  7  1  | 13 11  | 18  8  | 17 10  | 15 14  | 12  9  |  4 16  |
|  1 20  |  8 13  |  2 19  |  5 12  |  4 18  |  7  6  | 15 11  |  9 17  | 10 16  |  3 14  |
|  6  2  | 12  5  |  8 13  | 20 16  | 19  7  |  3  1  |  9 18  | 10  4  | 14 17  | 15 11  |
---------------------------------------------------------------------------------------------------------------
