---------------------------------------------------------------------------------------------------------------
|  6  9  | 10 17  |  5 14  |  3 11  | 12  8  |  7 15  | 13 16  |  2 20  |  4 19  | 18  1  |
|  3 20  |  1 12  | 17  7  | 10 15  | 19  9  |  8 11  |  2 18  | 13  4  | 14  5  |  6 16  |
|  5 18  |  6 11  | 12  8  |  9 13  | 14 17  | 10 19  | 15 20  |  3  1  |  2 16  |  4  7  |
|  1  8  | 20 13  | 18 16  | 12 17  |  5  7  |  2  6  | 19  4  | 15 10  |  9  3  | 14 11  |
| 10 15  | 19 16  | 11  1  |  2 18  |  3  4  | 17 12  |  5 14  |  7  9  | 20  6  | 13  8  |
| 13  2  |  4  9  | 20 19  |  1 14  | 18 11  |  3 16  | 12  8  |  6  5  | 15  7  | 17 10  |
|  4 17  |  2  8  |  9  3  | 20  6  |  1 13  |  5 18  |  7 10  | 14 16  | 12 11  | 15 19  |
| 16 12  | 15 18  | 13  4  |  8  7  |  2 20  | 14  9  |  6  1  | 19 11  | 10 17  |  5  3  |
| 19 14  |  5  7  | 15  2  |  4 16  |  6 10  |  1 13  |  3 11  | 12 17  | 18  8  | 20  9  |
| 11  7  |  3 14  |  6 10  |  5 19  | 16 15  | 20  4  |  9 17  | 18  8  |  1 13  | 12  2  |
---------------------------------------------------------------------------------------------------------------
| 12  3  | 14  6  | 10  5  | 13 20  | 11 16  |  4  7  | 17  2  |  1 18  |  8  9  | 19 15  |
|  8 11  | 12 20  | 16 15  | 19  5  |  7 18  |  9 17  |  1  6  | 10 14  |  3  4  |  2 13  |
| 17 13  |  9  5  | 14 11  | 15  4  |  8 19  | 16  3  | 10  7  | 20  2  |  6 12  |  1 18  |
|  9  5  | 11 10  | 19  6  | 14  2  | 15  1  | 13  8  | 16  3  |  4 12  | 17 18  |  7 20  |
| 14 16  |  7  3  |  1 12  | 17 10  | 13  5  | 18 20  | 11 15  |  8  6  | 19  2  |  9  4  |
| 15  1  | 18  2  |  3  9  | 11 12  | 17 14  | 19 10  |  4 13  | 16  7  |  5 20  |  8  6  |
|  2 19  |  8  1  |  7 18  | 16  9  |  4  6  | 15 14  | 20  5  | 17  3  | 13 10  | 11 12  |
|  7  6  | 17 15  |  4 13  | 18  1  | 20  3  | 11  2  |  8 12  |  9 19  | 16 14  | 10  5  |
| 20  4  | 16 19  |  2 17  |  7  8  | 10 12  |  6  1  | 18  9  |  5 13  | 11 15  |  3 14  |
| 18 10  | 13  4  |  8 20  |  6  3  |  9  2  | 12  5  | 14 19  | 11 15  |  7  1  | 16 17  |
---------------------------------------------------------------------------------------------------------------
