---------------------------------------------------------------------------------------------------------------
| 10  2  | 15 19  | 11  3  |  8 17  |  5  4  |  1  9  | 18 12  |  6 13  | 16  7  | 14 20  |
|  5  7  | 11 12  | 14 13  | 18 10  |  8  3  | 19 20  |  1  6  |  9  4  | 15 17  | 16  2  |
|  9 15  |  7 20  | 17 12  | 11 16  | 14 19  |  8 10  |  2 13  | 18  1  |  6  4  |  5  3  |
| 18 13  |  3  4  | 15  6  | 12 14  |  2 10  |  5 17  | 19 20  | 16  8  |  9  1  | 11  7  |
|  1  3  | 13 16  |  7  5  | 19  9  | 11 18  | 14 15  | 10  8  |  2 17  | 12 20  |  6  4  |
| 16 17  |  2  1  | 19 20  |  3 13  | 15  9  |  4  6  | 14  5  | 10  7  |  8 11  | 12 18  |
| 14 11  | 17 18  |  1  2  | 15  7  |  6 16  | 13  3  |  9  4  | 12 20  | 10  5  |  8 19  |
|  6 19  | 14  5  | 10  8  |  4  1  | 13 20  | 12 18  |  7 16  | 15 11  |  2  3  |  9 17  |
| 20  8  | 10  6  |  4  9  |  2  5  |  1 12  | 16  7  | 17 11  | 19  3  | 18 14  | 15 13  |
| 12  4  |  9  8  | 18 16  | 20  6  | 17  7  | 11  2  | 15  3  | 14  5  | 13 19  |  1 10  |
---------------------------------------------------------------------------------------------------------------
|  7 16  | 20 10  |  9  4  |  5 18  | 19 13  |  6 14  | 11  1  | 17 15  |  3  8  |  2 12  |
|  2 18  |  5 13  | 12 17  | 10  3  | 16 11  | 15 19  |  8 14  |  7  9  | 20  6  |  4  1  |
|  4 20  |  6 11  |  5 10  | 16  8  | 18  2  |  3  1  | 12 19  | 13 14  | 17 15  |  7  9  |
|  3 14  |  4 17  | 16 19  |  7 15  | 12  5  | 18 13  | 20  9  |  8  6  |  1  2  | 10 11  |
| 19 12  |  8  2  | 13  7  |  6  4  |  3 17  |  9  5  | 16 15  |  1 18  | 11 10  | 20 14  |
| 15 10  |  1  3  |  2 11  | 17 12  |  9 14  | 20 16  |  6  7  |  4 19  |  5 18  | 13  8  |
| 17  5  | 19  7  | 20 15  |  9  2  |  4  1  | 10  8  | 13 18  | 11 16  | 14 12  |  3  6  |
| 11  1  | 16 15  |  6 14  | 13 20  |  7  8  | 17 12  |  4  2  |  3 10  | 19  9  | 18  5  |
| 13  9  | 12 14  |  8 18  |  1 19  | 20  6  |  7 11  |  3 10  |  5  2  |  4 16  | 17 15  |
|  8  6  | 18  9  |  3  1  | 14 11  | 10 15  |  2  4  |  5 17  | 20 12  |  7 13  | 19 16  |
---------------------------------------------------------------------------------------------------------------
