---------------------------------------------------------------------------------------------------------------
| 11  7  |  2 15  | 14 20  |  8  5  |  4 17  |  6 13  | 18  1  | 19 10  | 12  3  | 16  9  |
| 19 10  |  5 18  | 13 16  |  7 14  | 20  3  |  4  9  | 11  8  | 17  6  |  2 15  | 12  1  |
|  3 12  | 19 17  | 15  8  |  2  6  | 18 14  | 11  1  |  4 13  | 20  9  | 10 16  |  7  5  |
| 15  4  | 11 12  |  7 17  | 16 13  |  8  9  |  3 19  |  2 20  | 14  5  |  6  1  | 10 18  |
|  5 17  | 14 10  | 18 12  |  4  3  | 19 11  |  7  8  |  6 16  | 15  1  | 20  9  |  2 13  |
|  6 20  |  3  4  | 10 11  | 18 12  | 13  1  | 15 16  |  9 19  |  8  2  |  5  7  | 14 17  |
|  9 14  |  8  7  |  5 19  | 11  1  |  6 16  | 20  2  |  3 10  | 12 13  | 18 17  | 15  4  |
| 13  1  |  6  9  |  4  3  | 10 15  |  7  2  | 18 17  | 12  5  | 11 16  | 19 14  | 20  8  |
|  2 18  | 13 16  |  9  1  | 19 20  | 15  5  | 10 12  | 17 14  |  4  7  | 11  8  |  6  3  |
| 16  8  | 20  1  |  6  2  | 17  9  | 10 12  | 14  5  |  7 15  | 18  3  |  4 13  | 19 11  |
---------------------------------------------------------------------------------------------------------------
| 14 11  |  7 19  |  2 15  | 13 16  | 12  6  |  9  3  |  5 17  |  1 18  |  8 10  |  4 20  |
| 12  5  | 18 11  |  3  9  | 14  8  | 17 13  |  2 10  | 19  4  |  6 15  |  7 20  |  1 16  |
|  4  6  | 15  2  | 11  7  |  3 18  |  1 20  | 13 14  | 10 12  | 16  8  |  9  5  | 17 19  |
|  8 19  | 10  5  | 20 18  | 15  2  |  3  4  | 12 11  | 16  7  |  9 17  |  1  6  | 13 14  |
|  7 15  | 17  3  | 19  5  |  6 11  |  2 10  |  8 20  |  1  9  | 13 14  | 16  4  | 18 12  |
| 17 13  |  4 14  |  8  6  |  5  7  | 16 18  |  1 15  | 20 11  | 10 12  |  3 19  |  9  2  |
|  1  2  | 12  8  | 16 10  | 20 19  |  9  7  | 17  6  | 14 18  |  3  4  | 13 11  |  5 15  |
| 10 16  |  1 13  | 12 14  |  9  4  |  5 15  | 19  7  |  8  3  |  2 20  | 17 18  | 11  6  |
| 18  9  | 16 20  |  1 13  | 12 17  | 11  8  |  5  4  | 15  6  |  7 19  | 14  2  |  3 10  |
| 20  3  |  9  6  | 17  4  |  1 10  | 14 19  | 16 18  | 13  2  |  5 11  | 15 12  |  8  7  |
---------------------------------------------------------------------------------------------------------------
