---------------------------------------------------------------------------------------------------------------
| 12  7  |  4  5  | 15 10  | 18  8  | 11 13  | 17 16  |  9 19  |  1  3  | 14 20  |  6  2  |
| 15 18  | 14 16  |  4  6  |  9  2  |  1 19  | 12 13  | 20  8  |  5  7  | 17 11  | 10  3  |
| 11  6  | 12 17  | 20  2  | 15  1  | 18  9  | 19  8  | 16 14  | 10 13  |  5  3  |  7  4  |
| 10  3  |  9  7  | 17 13  |  4 14  |  2 12  | 18  1  |  6 11  | 16 20  |  8 19  |  5 15  |
|  5  4  |  1 18  | 12  7  | 10 20  | 14 16  |  9  6  | 17  3  | 19 11  | 15  2  |  8 13  |
|  8 13  | 15 10  | 18 19  | 12  6  | 20  4  | 14  3  |  1  5  | 17  2  | 16  7  | 11  9  |
| 14 16  | 11  8  |  1  9  | 17  7  | 15  3  | 20  5  | 13  2  |  6 18  | 10  4  | 19 12  |
| 19  9  | 13  6  | 11  5  |  3 16  | 10  7  | 15  2  | 12  4  |  8 14  |  1 18  | 17 20  |
| 20  1  |  3  2  |  8 16  | 11 19  | 17  5  |  4  7  | 15 10  | 12  9  | 13  6  | 14 18  |
|  2 17  | 20 19  |  3 14  |  5 13  |  8  6  | 11 10  |  7 18  | 15  4  |  9 12  |  1 16  |
---------------------------------------------------------------------------------------------------------------
| 13 19  |  6  3  |  5 17  |  1 12  | 16 11  |  8 18  |  4  9  | 14 15  |  2 10  | 20  7  |
|  7 14  | 19 12  | 13  4  | 20  5  |  9  1  |  2 17  |  8  6  | 18 16  | 11 15  |  3 10  |
|  9 15  |  2 11  | 14  3  |  7  4  | 19  8  |  1 12  | 18 13  | 20 10  |  6  5  | 16 17  |
| 18  2  | 17  4  |  7 12  | 13 11  |  5 20  |  6  9  | 10 16  |  3  8  | 19 14  | 15  1  |
|  4  5  |  7 15  |  2  1  | 19 10  | 12 17  | 16 11  |  3 20  |  9  6  | 18  8  | 13 14  |
|  6 12  | 10  9  | 16  8  |  2  3  | 13 14  |  5 20  | 11 15  |  4  1  |  7 17  | 18 19  |
| 16 11  |  5 14  | 10 15  |  8 18  |  3  2  |  7  4  | 19 12  | 13 17  | 20  1  |  9  6  |
|  3  8  | 18  1  | 19 20  |  6  9  |  7 10  | 13 15  | 14 17  | 11 12  |  4 16  |  2  5  |
|  1 10  |  8 20  |  9 18  | 16 17  |  6 15  |  3 14  |  5  7  |  2 19  | 12 13  |  4 11  |
| 17 20  | 16 13  |  6 11  | 14 15  |  4 18  | 10 19  |  2  1  |  7  5  |  3  9  | 12  8  |
---------------------------------------------------------------------------------------------------------------
