---------------------------------------------------------------------------------------------------------------
|  6  5  | 16 20  |  8  3  | 12 18  |  1 13  |  7 10  | 17 19  |  9  2  | 14  4  | 11 15  |
| 17  3  |  2 18  | 16  9  |  8 20  | 11 15  | 19 12  | 13 14  |  1  4  |  6  7  |  5 10  |
|  9 10  | 17  3  | 20  1  | 16  7  |  4 19  | 14  5  | 15 18  | 12  8  |  2 11  |  6 13  |
| 18 11  |  6 12  | 10  5  | 14 15  |  7 16  |  1 20  |  9  4  | 19  3  | 13  8  | 17  2  |
| 13 20  |  9 15  |  6 17  |  3  5  |  2 10  |  4 11  |  7 16  | 18 14  | 19  1  |  8 12  |
|  4  2  | 10 11  | 13 15  |  1  9  |  3 20  | 16 17  |  5  8  |  7  6  | 12 18  | 14 19  |
|  7 14  |  5 13  |  2 18  | 10 19  | 12  8  |  3 15  |  1  6  | 16 11  |  9 17  |  4 20  |
| 16  8  |  4 14  | 11 19  | 17 13  |  5 18  |  9  6  | 12  2  | 15 20  | 10  3  |  1  7  |
| 19 15  |  7  1  | 14 12  | 11  4  |  9  6  |  8  2  |  3 10  | 17 13  |  5 20  | 18 16  |
| 12  1  | 19  8  |  7  4  |  2  6  | 17 14  | 13 18  | 20 11  | 10  5  | 15 16  |  9  3  |
---------------------------------------------------------------------------------------------------------------
| 15 19  | 11  7  | 18 14  | 13  1  |  6  3  | 12 16  | 10 17  |  8  9  | 20  5  |  2  4  |
| 10 12  | 18  2  |  9  8  | 20 16  | 19 17  |  5  4  | 11  7  |  3 15  |  1 14  | 13  6  |
|  5  7  |  1  4  | 12  6  |  9 10  | 16  2  | 15 13  |  8  3  | 14 17  | 11 19  | 20 18  |
|  8 16  | 13 19  |  5 11  | 18 12  | 20  1  | 17  3  |  4  9  |  2 10  |  7  6  | 15 14  |
|  2  6  | 15 16  |  1 20  |  7  3  | 13  9  | 10  8  | 14  5  | 11 18  |  4 12  | 19 17  |
|  3 13  |  8  6  | 19  7  |  4 11  | 18 12  | 20 14  | 16 15  |  5  1  | 17  2  | 10  9  |
|  1  9  | 12  5  | 15 10  | 19 17  | 14  4  | 11  7  |  2 20  |  6 16  | 18 13  |  3  8  |
| 11 18  |  3 17  |  4  2  | 15 14  | 10  7  |  6  1  | 19 13  | 20 12  |  8  9  | 16  5  |
| 14 17  | 20 10  |  3 13  |  5  2  |  8 11  | 18  9  |  6 12  |  4 19  | 16 15  |  7  1  |
| 20  4  | 14  9  | 17 16  |  6  8  | 15  5  |  2 19  | 18  1  | 13  7  |  3 10  | 12 11  |
---------------------------------------------------------------------------------------------------------------
