---------------------------------------------------------------------------------------------------------------
| 18  2  |  3 12  | 10 17  | 14  9  | 13  6  | 19 11  | 15  8  |  1 20  |  7  5  | 16  4  |
|  3 14  |  8 15  | 12 16  | 10 19  | 17  2  | 18  4  | 11  9  | 13  7  | 20  6  |  1  5  |
|  8  4  |  1 14  |  2 15  |  3 17  | 12 11  | 13 10  | 20 18  |  5 16  | 19  9  |  6  7  |
|  5 13  | 19 20  |  8  9  | 12 11  |  7  3  | 14 17  |  6  4  | 18 10  | 16  1  | 15  2  |
| 10 12  |  5  6  |  3  7  |  8  2  | 14 16  | 15  9  | 17  1  | 19  4  | 18 11  | 20 13  |
| 17  6  |  9 16  | 14 18  |  4 15  |  8  1  | 12 20  |  5  7  | 11  2  | 10 13  |  3 19  |
| 15 16  |  2 11  |  4 19  | 20  5  | 10  9  |  1  7  | 12 13  | 17  6  | 14  3  | 18  8  |
| 11  1  | 10  7  |  5  6  | 16 13  | 20 18  |  3  2  | 14 19  |  9 15  |  8  4  | 12 17  |
| 20 19  | 17 18  | 11 13  |  7  1  |  5  4  | 16  6  | 10  2  |  3  8  | 15 12  |  9 14  |
|  7  9  |  4 13  |  1 20  |  6 18  | 19 15  |  5  8  | 16  3  | 12 14  | 17  2  | 10 11  |
---------------------------------------------------------------------------------------------------------------
| 13 10  | 18 19  | 17  1  |  5  8  |  2 12  | 11  3  |  4 14  | 20  9  |  6 16  |  7 15  |
| 19  5  | 20 17  |  6 10  |  2 12  | 11  8  |  9 18  | 13 16  |  7  3  |  4 15  | 14  1  |
| 12  8  | 14 10  | 19  4  | 18 20  | 16 17  |  2  5  |  9 11  | 15  1  |  3  7  | 13  6  |
| 16 20  |  6  8  | 18 11  |  1  4  |  3 19  | 17 12  |  7 15  | 14 13  |  5 10  |  2  9  |
|  6 18  |  7  4  |  9  5  | 19 10  |  1 14  | 20 15  |  3 17  |  2 12  | 13  8  | 11 16  |
|  2 11  | 16  9  | 20 14  | 17  6  | 15  7  |  8 13  | 18 12  | 10  5  |  1 19  |  4  3  |
| 14  7  | 11  1  | 16  2  | 15  3  | 18 13  |  6 19  |  8 10  |  4 17  |  9 20  |  5 12  |
|  9 17  | 15  2  |  7  3  | 13 16  |  6  5  |  4 14  |  1 20  |  8 11  | 12 18  | 19 10  |
|  4  3  | 13  5  | 15 12  | 11 14  |  9 10  |  7  1  | 19  6  | 16 18  |  2 17  |  8 20  |
|  1 15  | 12  3  | 13  8  |  9  7  |  4 20  | 10 16  |  2  5  |  6 19  | 11 14  | 17 18  |
---------------------------------------------------------------------------------------------------------------
