---------------------------------------------------------------------------------------------------------------
|  3  7  | 11 10  |  9 16  | 17  1  |  4  5  |  2  6  | 18 12  | 13 20  |  8 19  | 14 15  |
| 15 14  |  1  9  |  4 11  | 16  8  |  7 13  |  5 12  | 19  3  | 17  2  | 20  6  | 10 18  |
| 13 16  | 14  7  |  3  8  | 11  9  | 20 18  |  4 15  |  1 10  | 12 19  |  2 17  |  6  5  |
| 12 20  | 16 13  |  7 15  |  3 10  | 11  2  | 19  8  |  4 17  |  6 14  | 18  5  |  1  9  |
| 17  5  | 12 20  | 19 14  |  7 15  |  3  8  | 10 11  |  6  2  |  4 18  |  1  9  | 16 13  |
|  4  8  |  3  5  | 13 17  |  2 12  | 15  6  | 18 20  | 14  9  |  1 10  | 11 16  | 19  7  |
|  9  6  |  4 17  | 20  5  | 18 19  | 10 12  |  3  1  | 13  8  | 15 16  | 14  7  |  2 11  |
| 11  2  |  6 18  | 10  1  |  5  4  | 16 19  | 17 14  | 15 20  |  7  9  | 12 13  |  3  8  |
|  1 18  |  8 19  | 12  2  | 20  6  |  9 14  | 16 13  |  5  7  |  3 11  | 10 15  | 17  4  |
| 19 10  |  2 15  |  6 18  | 14 13  |  1 17  |  7  9  | 16 11  |  8  5  |  3  4  | 20 12  |
---------------------------------------------------------------------------------------------------------------
| 16  1  | 10  4  |  8  9  | 12 11  |  5  7  |  6 19  |  2 15  | 20 17  | 13  3  | 18 14  |
|  7  4  |  9  2  | 14  6  |  1 18  | 12 16  | 15 17  | 20  5  | 11 13  | 19 10  |  8  3  |
| 20 19  | 17 14  | 18  4  | 15  5  |  6  1  | 11  7  |  3 16  | 10  8  |  9 12  | 13  2  |
|  5 17  | 19  1  | 15 13  |  9 14  | 18 11  | 20  2  | 10  4  | 16  3  |  7  8  | 12  6  |
|  8  9  |  5 11  | 16  7  |  6  3  | 14 15  | 13 10  | 12 19  |  2  1  | 17 18  |  4 20  |
| 10 15  | 18 16  | 17 20  |  8  2  | 13  9  |  1  3  | 11  6  |  5 12  |  4 14  |  7 19  |
|  6 13  | 15 12  |  1 10  |  4 20  | 17  3  |  9 18  |  8 14  | 19  7  |  5  2  | 11 16  |
| 18  3  | 13  8  |  5 12  | 19 17  |  2 20  | 14 16  |  7  1  |  9  4  |  6 11  | 15 10  |
|  2 12  | 20  6  | 11  3  | 13  7  | 19 10  |  8  4  |  9 18  | 14 15  | 16  1  |  5 17  |
| 14 11  |  7  3  |  2 19  | 10 16  |  8  4  | 12  5  | 17 13  | 18  6  | 15 20  |  9  1  |
---------------------------------------------------------------------------------------------------------------
