---------------------------------------------------------------------------------------------------------------
|  6 16  |  4 10  |  9  3  | 14 13  |  8 18  |  7  2  | 20  5  | 15 12  | 11  1  | 19 17  |
| 19 18  | 14  8  |  4 20  |  6 12  |  1 13  | 16  5  |  3 10  |  9  7  |  2 17  | 11 15  |
| 11 13  | 17  1  |  7  8  | 19 20  | 14 12  | 10  4  |  6 16  |  5 18  | 15  9  |  3  2  |
|  4 10  | 11  6  | 18 16  |  2  7  | 20 19  | 13  1  |  8 15  |  3 17  | 12  5  |  9 14  |
| 20  7  | 16 15  | 17  6  |  1  8  |  5  2  | 14 12  | 13  9  | 10 11  |  3 19  | 18  4  |
| 15 12  | 18  7  | 10 14  | 17  5  |  6  3  | 19  9  | 11  1  | 20  2  | 16  4  |  8 13  |
| 17  3  | 20  2  |  5 13  | 10 11  |  4  9  | 15 18  | 12  7  |  1 19  | 14  8  | 16  6  |
|  2  5  | 19 12  | 11  1  | 18  9  | 15  7  |  3  8  | 14 17  | 16  4  |  6 13  | 20 10  |
| 14  1  |  5  9  | 15  2  |  3 16  | 10 11  |  6 17  |  4 19  |  8 13  | 20 18  | 12  7  |
|  9  8  |  3 13  | 19 12  | 15  4  | 17 16  | 11 20  |  2 18  | 14  6  | 10  7  |  5  1  |
---------------------------------------------------------------------------------------------------------------
| 12 14  |  6 19  |  8 11  | 20 10  |  9  4  |  5  7  |  1 13  | 17  3  | 18  2  | 15 16  |
|  5  4  |  1 16  |  2 15  | 11  3  |  7  8  |  9  6  | 10 14  | 18 20  | 17 12  | 13 19  |
|  7 19  | 12 14  | 16  9  |  8  2  | 11 10  |  4  3  | 18  6  | 13  1  |  5 15  | 17 20  |
| 16 15  |  2 11  |  6 19  | 13 14  |  3 17  | 18 10  |  7  4  | 12  5  |  8 20  |  1  9  |
| 10 17  | 15  3  | 14  5  |  9 19  |  2 20  |  1 11  | 16 12  |  4  8  | 13  6  |  7 18  |
| 18  9  |  8  4  | 12 10  | 16  1  | 19 14  | 17 13  |  5 20  |  6 15  |  7  3  |  2 11  |
| 13 20  |  9 17  |  3 18  |  7 15  | 16  6  | 12 14  | 19  8  |  2 10  |  1 11  |  4  5  |
|  1 11  |  7  5  | 20 17  | 12 18  | 13 15  |  2 16  |  9  3  | 19 14  |  4 10  |  6  8  |
|  8  6  | 13 18  |  1  7  |  4 17  | 12  5  | 20 19  | 15  2  | 11 16  |  9 14  | 10  3  |
|  3  2  | 10 20  | 13  4  |  5  6  | 18  1  |  8 15  | 17 11  |  7  9  | 19 16  | 14 12  |
---------------------------------------------------------------------------------------------------------------
