---------------------------------------------------------------------------------------------------------------
|  5  8  |  2  4  | 13  3  | 19 11  |  1 20  | 10  9  | 16 14  | 18  6  | 12 15  | 17  7  |
| 13  2  |  5 18  | 16 10  |  3 17  |  6 15  |  1 19  |  9  7  | 11  8  |  4 20  | 12 14  |
| 14  9  |  8 17  |  2  6  |  7 16  | 19 11  | 15 13  |  1  4  |  3 12  | 18 10  | 20  5  |
| 20  6  |  1 10  |  4 19  |  2 18  | 16 14  |  5  7  | 15 12  | 13  9  | 11 17  |  3  8  |
| 15  7  |  9  3  |  5 12  | 20 13  | 17  4  | 16 11  |  6  8  |  1  2  | 19 14  | 18 10  |
| 16 17  |  7 15  | 14 18  |  5  4  |  9 13  | 20 12  | 11  3  | 10 19  |  1  8  |  2  6  |
| 10 12  | 20 16  |  9  7  | 14 15  | 18  3  |  4  8  | 19 13  |  5 17  |  6  2  | 11  1  |
| 18  3  | 14 12  | 11  8  |  6  1  |  7  5  | 17  2  | 20 10  | 16 15  | 13  9  | 19  4  |
| 19 11  |  6 13  | 15  1  | 12  8  |  2 10  | 18 14  | 17  5  |  4 20  |  7  3  |  9 16  |
|  1  4  | 19 11  | 20 17  | 10  9  |  8 12  |  3  6  |  2 18  |  7 14  |  5 16  | 13 15  |
---------------------------------------------------------------------------------------------------------------
|  8 14  | 13 19  | 12 16  |  9  5  | 15 18  |  7 20  |  4 11  | 17  1  |  2  6  | 10  3  |
|  3 19  | 16  7  |  1 14  | 13 20  |  5  9  |  2 17  | 12  6  | 15  4  | 10 11  |  8 18  |
| 12 20  | 15  2  | 19 13  |  4  3  | 14 16  |  9 18  |  8  1  |  6 10  | 17  7  |  5 11  |
|  7 15  |  3  8  | 17 20  | 16 12  | 13  6  | 11 10  | 18  2  |  9  5  | 14  4  |  1 19  |
|  9 10  | 11 20  |  8  4  | 18  6  |  3  7  | 13  1  |  5 17  |  2 16  | 15 19  | 14 12  |
| 17 18  | 12  1  | 10 15  | 11  2  | 20 19  |  6  4  | 14  9  |  8  7  |  3  5  | 16 13  |
| 11  1  | 10  6  |  3  2  |  8 19  | 12 17  | 14  5  |  7 15  | 20 18  | 16 13  |  4  9  |
|  4  5  | 18 14  |  7  9  |  1 10  | 11  2  |  8 15  | 13 16  | 19  3  | 20 12  |  6 17  |
|  2 13  |  4  9  |  6  5  | 17  7  | 10  1  | 12 16  |  3 19  | 14 11  |  8 18  | 15 20  |
|  6 16  | 17  5  | 18 11  | 15 14  |  4  8  | 19  3  | 10 20  | 12 13  |  9  1  |  7  2  |
---------------------------------------------------------------------------------------------------------------
