---------------------------------------------------------------------------------------------------------------
| 14  5  | 15 19  | 18 11  |  1 10  |  4  3  |  6  9  |  2 20  |  8 12  | 17  7  | 16 13  |
| 10  7  | 16 20  | 15  1  |  8  5  |  2 18  | 17 11  |  9 12  |  6  4  | 14 13  | 19  3  |
| 12 13  |  7  8  | 19 14  | 11 17  |  5  6  | 18  2  | 15 16  |  9  1  | 10  3  |  4 20  |
| 15 18  | 11  1  |  4  2  | 14 13  | 17 12  |  7  8  |  5 19  | 10  3  | 20 16  |  9  6  |
|  9 17  | 14  2  |  6  8  | 19 15  |  1 11  |  5 20  |  4  3  | 16 13  | 12 18  | 10  7  |
|  6  1  | 10 13  | 20  5  |  4 12  | 16 19  |  3 14  |  7 11  |  2 18  |  9  8  | 17 15  |
| 16  2  |  5  9  | 13  7  | 20  3  |  8 10  | 12  4  |  6 17  | 11 19  |  1 15  | 14 18  |
|  4  3  | 18 12  | 16  9  |  2  7  | 20 13  | 10 19  |  1 14  | 17 15  | 11  6  |  8  5  |
|  8 20  |  6 17  | 12  3  | 18  9  |  7 15  |  1 16  | 10 13  |  5 14  | 19  4  | 11  2  |
| 11 19  |  4  3  | 10 17  |  6 16  | 14  9  | 15 13  | 18  8  | 20  7  |  5  2  | 12  1  |
---------------------------------------------------------------------------------------------------------------
|  7  9  |  3  5  | 17 13  | 10 18  |  6 20  |  2 15  | 14  4  | 19 11  |  8 12  |  1 16  |
|  2 12  |  1 10  |  5  6  | 17 11  |  3 14  | 20 18  | 19 15  | 13 16  |  4  9  |  7  8  |
| 19 15  | 13  7  |  9 12  |  5  1  | 11 17  |  8  6  | 20  2  |  3 10  | 16 14  | 18  4  |
|  1 11  | 17 15  | 14 18  |  9  6  | 19  5  | 16  7  |  8 10  |  4  2  | 13 20  |  3 12  |
|  5 14  | 12  4  |  7 15  | 16  8  |  9  2  | 11 17  |  3 18  |  1 20  |  6 10  | 13 19  |
| 20  4  |  9 16  |  8 10  | 12  2  | 18  1  | 19  5  | 13  6  |  7 17  |  3 11  | 15 14  |
|  3  6  | 20 11  |  1 19  |  7 14  | 15  4  | 13 10  | 16  5  | 12  8  | 18 17  |  2  9  |
| 13  8  | 19  6  |  3  4  | 15 20  | 10 16  | 14 12  | 11  7  | 18  9  |  2  1  |  5 17  |
| 17 10  |  8 18  |  2 16  |  3 19  | 13  7  |  4  1  | 12  9  | 14  6  | 15  5  | 20 11  |
| 18 16  |  2 14  | 11 20  | 13  4  | 12  8  |  9  3  | 17  1  | 15  5  |  7 19  |  6 10  |
---------------------------------------------------------------------------------------------------------------
