----------------------------------------------------------------------------------------------------
|  5 10  | 16 11  | 14  7  |  8  2  | 12  6  | 18  1  |  9 17  | 15  4  |  3 13  |
| 14  7  |  3  5  | 18  1  | 13 11  |  2  9  |  6 10  |  8  4  | 12 16  | 15 17  |
| 16  9  | 14  4  |  5 12  | 18 17  |  8 11  |  7 13  |  6 15  |  2  3  | 10  1  |
|  4 13  | 18  6  | 10  2  |  5 12  | 17 15  | 11  8  |  3  7  |  1 14  | 16  9  |
|  8  6  | 12  7  |  4 13  |  9 10  |  5 18  |  3 15  |  1 16  | 11 17  | 14  2  |
|  1 17  |  8 10  | 16  6  |  7 15  |  4  3  |  9 12  |  2 14  | 18 13  | 11  5  |
| 11  2  | 15 17  |  3  9  | 14 16  | 10  1  |  4  5  | 12 13  |  6  7  |  8 18  |
| 12  3  | 13  9  | 15 11  |  6  1  | 16 14  |  2 17  | 18 10  |  8  5  |  4  7  |
| 15 18  |  2  1  | 17  8  |  4  3  | 13  7  | 16 14  |  5 11  | 10  9  |  6 12  |
----------------------------------------------------------------------------------------------------
| 17  1  | 10 18  | 13  3  | 12  8  | 11  4  | 15 16  |  7  2  |  9  6  |  5 14  |
|  7 11  |  9 14  |  1 18  | 16  6  |  3 17  |  5  2  | 13  8  |  4 15  | 12 10  |
|  9 15  | 17 13  |  6  5  | 10 18  | 14 16  |  8 11  |  4 12  |  7  2  |  1  3  |
|  6  4  | 11 12  |  7 16  |  2 13  | 18  5  |  1  3  | 15  9  | 14 10  | 17  8  |
|  2 12  |  1  8  |  9 10  | 15 14  |  7 13  | 17  6  | 16  3  |  5 11  | 18  4  |
| 18  5  |  6 16  | 11 17  |  3  7  |  9  8  | 14  4  | 10  1  | 13 12  |  2 15  |
| 10  8  |  5  3  | 12 14  |  1  4  | 15  2  | 13  9  | 11  6  | 17 18  |  7 16  |
|  3 14  |  7 15  |  2  4  | 11  9  |  1 12  | 10 18  | 17  5  | 16  8  | 13  6  |
| 13 16  |  4  2  |  8 15  | 17  5  |  6 10  | 12  7  | 14 18  |  3  1  |  9 11  |
----------------------------------------------------------------------------------------------------
