----------------------------------------------------------------------------------------------------
| 15  6  | 11 12  |  1  4  | 17 13  | 18  9  |  7  2  |  8 10  |  5  3  | 14 16  |
| 11 12  |  9  4  | 14  3  |  2  8  |  1 16  | 18 17  | 13 15  | 10  7  |  5  6  |
|  4 17  |  6  2  | 12 16  |  9 10  | 11  3  |  5  8  | 18  7  |  1 14  | 13 15  |
|  3  9  | 17  5  |  6 10  | 12 18  | 14  2  | 16  4  |  1 11  | 13 15  |  7  8  |
|  7 10  |  3  1  |  2  9  |  4 11  | 12 13  | 15  6  |  5 14  |  8 16  | 17 18  |
|  5 16  |  8 18  | 11 17  | 14  7  | 10 15  | 13  1  |  2  6  |  9 12  |  3  4  |
| 18 14  |  7 16  | 15 13  |  1  6  |  8  5  | 10 11  |  9  3  |  4 17  | 12  2  |
|  2  1  | 15 13  |  8 18  | 16  5  |  7  4  | 14  3  | 17 12  | 11  6  | 10  9  |
| 13  8  | 10 14  |  5  7  |  3 15  |  6 17  | 12  9  | 16  4  |  2 18  | 11  1  |
----------------------------------------------------------------------------------------------------
|  1  2  | 18  7  |  9 15  | 11 12  | 17  8  |  4 14  |  3  5  |  6 10  | 16 13  |
| 17 13  |  5  8  | 18 11  |  6  3  | 16 10  |  2  7  | 14  9  | 15  1  |  4 12  |
|  6 18  |  1 15  |  3  5  | 10  2  | 13 11  |  8 12  |  7 17  | 16  4  |  9 14  |
| 10 11  | 16  9  |  4  1  | 18 14  | 15  7  | 17 13  | 12  8  |  3  2  |  6  5  |
| 16  3  |  4 17  | 13  6  |  5  1  |  2 14  | 11 15  | 10 18  | 12  9  |  8  7  |
|  9 15  | 12  3  |  7 14  | 13  4  |  5  1  |  6 18  | 11 16  | 17  8  |  2 10  |
| 12  5  | 13 10  | 17  8  |  7  9  |  4 18  |  1 16  |  6  2  | 14 11  | 15  3  |
| 14  4  |  2 11  | 10 12  |  8 16  |  9  6  |  3  5  | 15  1  |  7 13  | 18 17  |
|  8  7  | 14  6  | 16  2  | 15 17  |  3 12  |  9 10  |  4 13  | 18  5  |  1 11  |
----------------------------------------------------------------------------------------------------
