----------------------------------------------------------------------------------------------------
|  4 16  |  5 12  |  3 15  | 10  7  | 17  1  | 11 18  |  9 13  | 14  8  |  6  2  |
|  6  7  |  4  2  | 13 16  |  5 17  | 14 12  |  1  3  | 18 11  | 15 10  |  8  9  |
|  9 13  | 16 17  |  4 14  |  6  2  | 10 15  | 12  5  |  7  8  |  1 18  | 11  3  |
| 18 15  |  7  1  | 10 12  |  4  3  |  8  9  | 17 16  | 14  6  | 11  2  |  5 13  |
| 12  1  | 18 10  |  7  6  | 15 13  |  4 11  |  8 14  |  2  5  |  9  3  | 17 16  |
| 17  8  |  6 15  |  5  1  | 14 11  | 18  2  |  9 13  | 12  3  |  4 16  | 10  7  |
| 11  5  | 13  9  | 18 17  |  1  8  |  3  6  |  2  4  | 10 16  |  7 12  | 14 15  |
| 14 10  | 11  3  |  2  8  | 12  9  | 16  5  |  6  7  |  4 15  | 13 17  | 18  1  |
|  3  2  |  8 14  |  9 11  | 16 18  |  7 13  | 15 10  |  1 17  |  5  6  | 12  4  |
----------------------------------------------------------------------------------------------------
|  7 11  | 14 16  | 15 18  |  3  5  |  9 10  | 13  2  |  6 12  |  8  4  |  1 17  |
| 13  4  | 17 18  | 14  3  |  7  1  | 15  8  |  5 11  | 16 10  | 12  9  |  2  6  |
|  2 17  | 12  7  |  6 13  |  9 14  | 11 18  |  3 15  |  8  4  | 10  1  | 16  5  |
| 16 14  |  2  6  | 12  7  | 18  4  |  1 17  | 10  8  |  5  9  |  3 13  | 15 11  |
| 10  6  |  1 13  | 16  2  | 11 12  |  5  3  | 18  9  | 15  7  | 17 14  |  4  8  |
| 15 18  | 10  4  | 11  5  |  8  6  | 13 14  | 16 17  |  3  1  |  2  7  |  9 12  |
|  5  9  | 15  8  |  1  4  | 13 16  |  6  7  | 14 12  | 17  2  | 18 11  |  3 10  |
|  1 12  |  3  5  |  8  9  | 17 10  |  2  4  |  7  6  | 11 18  | 16 15  | 13 14  |
|  8  3  |  9 11  | 17 10  |  2 15  | 12 16  |  4  1  | 13 14  |  6  5  |  7 18  |
----------------------------------------------------------------------------------------------------
