----------------------------------------------------------------------------------------------------
| 12 13  |  5 16  |  1  8  |  6 17  |  9 11  | 14  4  |  7 15  |  2 10  |  3 18  |
| 17 11  | 15  7  | 10 13  | 14  8  |  6  1  | 18 16  |  9 12  |  3  4  |  2  5  |
|  5  9  | 17  1  | 15 12  |  7  2  | 14  4  |  6 11  | 13  3  | 18  8  | 10 16  |
|  3 15  | 12 18  | 17  9  | 16  1  |  2 10  |  5  7  | 11  6  | 14 13  |  4  8  |
| 16  6  | 11  8  | 14  3  | 12  5  | 17  7  |  2 10  |  4 18  | 15  1  | 13  9  |
|  4  1  |  3  6  |  7  2  | 15 10  |  5 18  | 13 12  | 14  8  |  9 16  | 17 11  |
| 10  2  |  9  4  | 11  5  |  3 18  | 12 13  |  1  8  | 16 17  |  6  7  | 14 15  |
|  7 14  | 10 13  |  6 18  |  9  4  |  8 16  | 15  3  |  2  5  | 11 17  |  1 12  |
|  8 18  |  2 14  | 16  4  | 13 11  |  3 15  | 17  9  | 10  1  |  5 12  |  6  7  |
----------------------------------------------------------------------------------------------------
| 15  3  |  7 10  |  5 16  | 11 12  |  4  2  |  9 17  |  6 13  |  8 14  | 18  1  |
|  9  7  |  8  3  |  2 15  |  1 14  | 11 12  |  4  6  | 17 16  | 13 18  |  5 10  |
| 11  5  | 14 17  | 13  7  | 10  6  | 16  8  | 12  2  | 18  9  |  1  3  | 15  4  |
| 18 12  | 13  2  |  9  1  |  4  3  | 15 14  | 16  5  |  8 11  | 10  6  |  7 17  |
|  1 10  | 18 11  | 12 17  |  5  7  | 13  9  |  8 15  |  3 14  |  4  2  | 16  6  |
|  6  4  |  1  5  | 18 10  | 17 15  |  7  3  | 11 14  | 12  2  | 16  9  |  8 13  |
| 13  8  |  6 15  |  4 14  | 18 16  | 10 17  |  3  1  |  5  7  | 12 11  |  9  2  |
|  2 16  |  4  9  |  3 11  |  8 13  |  1  6  |  7 18  | 15 10  | 17  5  | 12 14  |
| 14 17  | 16 12  |  8  6  |  2  9  | 18  5  | 10 13  |  1  4  |  7 15  | 11  3  |
----------------------------------------------------------------------------------------------------
