----------------------------------------------------------------------------------------------------
|  4  7  | 12  8  |  1 13  |  2 10  | 17 15  | 16 18  | 14  9  |  5  6  |  3 11  |
|  2 10  |  6 11  |  4  9  | 15 13  | 16 12  | 17  3  |  7 18  |  1  8  |  5 14  |
| 18 14  | 10 17  | 11 16  |  7  9  |  8  2  | 12 13  |  3  5  |  4 15  |  1  6  |
| 17  3  | 14 16  |  6  8  | 12  1  | 10  7  | 15  5  |  4  2  | 18 11  | 13  9  |
| 15  5  |  3  2  | 10 12  | 14 17  | 18  6  |  7  8  |  1 11  |  9 13  |  4 16  |
|  9 12  |  5 13  |  3  2  |  8  6  | 14  4  |  1 11  | 17 16  |  7 10  | 18 15  |
|  1  8  |  9 18  | 14  5  | 16  3  | 13 11  | 10  4  | 15  6  |  2 17  |  7 12  |
| 11 16  |  7  1  | 17 15  |  4 18  |  9  5  |  2  6  | 13 12  | 14  3  |  8 10  |
|  6 13  |  4 15  | 18  7  |  5 11  |  3  1  |  9 14  |  8 10  | 12 16  |  2 17  |
----------------------------------------------------------------------------------------------------
| 13 11  | 16 14  |  5  3  | 10  8  | 12  9  |  6  7  |  2  1  | 17  4  | 15 18  |
| 12  6  |  2  4  | 16 14  |  3 15  |  1  8  |  5 17  | 18  7  | 10  9  | 11 13  |
| 14  1  | 11  5  |  7 10  |  6 12  |  4 13  |  3  9  | 16 15  |  8 18  | 17  2  |
| 16 18  |  8 12  | 15 11  | 17  5  |  6 10  | 13  1  |  9  4  |  3  2  | 14  7  |
|  3 17  | 13  9  | 12  4  |  1  7  | 15 18  | 11  2  | 10  8  | 16 14  |  6  5  |
|  8  2  | 15 10  |  9 17  | 11  4  |  5 14  | 18 12  |  6  3  | 13  7  | 16  1  |
|  5  9  | 17  7  |  2 18  | 13 16  | 11  3  |  8 15  | 12 14  |  6  1  | 10  4  |
| 10  4  | 18  6  |  8  1  |  9  2  |  7 17  | 14 16  | 11 13  | 15  5  | 12  3  |
|  7 15  |  1  3  | 13  6  | 18 14  |  2 16  |  4 10  |  5 17  | 11 12  |  9  8  |
----------------------------------------------------------------------------------------------------
