----------------------------------------------------------------------------------------------------
|  2 11  | 17  8  | 13  1  | 18 12  | 10 14  |  3  4  | 15 16  |  7  5  |  9  6  |
|  9  3  |  1 15  |  2 17  | 10  4  |  6 11  |  8 14  | 12 18  | 13 16  |  7  5  |
| 12  4  |  3 14  | 11 10  |  1 13  |  9 17  |  6  7  |  2  5  | 15 18  | 16  8  |
|  7  8  |  4 10  | 15 14  | 16  3  |  1 18  |  5 13  |  6 11  |  2  9  | 17 12  |
| 18  1  | 11 16  |  4  3  | 17  2  |  5  7  | 12 10  | 14  9  |  6  8  | 15 13  |
| 15  5  | 18  2  |  7  6  | 14  9  |  4 12  |  1 16  |  8 13  | 11 17  |  3 10  |
| 16  6  | 12  9  | 18  8  | 15  5  |  2 13  | 17 11  |  7  1  | 10  3  |  4 14  |
| 10 17  |  6 13  | 12  5  |  7  8  | 16 15  | 18  9  |  4  3  |  1 14  | 11  2  |
| 14 13  |  5  7  | 16  9  | 11  6  |  8  3  |  2 15  | 10 17  |  4 12  |  1 18  |
----------------------------------------------------------------------------------------------------
| 17  9  | 14  1  |  8  7  | 12 11  | 18  4  | 16  6  | 13  2  |  3 10  |  5 15  |
|  3 12  | 15  6  | 17 13  |  8  7  | 11  1  |  9 18  |  5 10  | 14  4  |  2 16  |
|  4 18  |  2  3  | 14 11  |  6 10  | 15  8  |  7  5  | 16 12  |  9  1  | 13 17  |
|  8  2  | 16 12  | 10 15  |  9 17  |  7  5  | 13  3  | 11  4  | 18  6  | 14  1  |
| 13  7  |  9 18  |  3 12  |  5 16  | 14 10  | 11 17  |  1 15  |  8  2  |  6  4  |
|  1 15  | 13 17  |  9  2  |  4 18  | 12 16  | 14  8  |  3  6  |  5 11  | 10  7  |
|  5 16  |  7  4  |  1 18  |  2 15  |  3  6  | 10 12  |  9 14  | 17 13  |  8 11  |
| 11 10  |  8  5  |  6 16  |  3 14  | 13  2  |  4  1  | 17  7  | 12 15  | 18  9  |
|  6 14  | 10 11  |  5  4  | 13  1  | 17  9  | 15  2  | 18  8  | 16  7  | 12  3  |
----------------------------------------------------------------------------------------------------
