----------------------------------------------------------------------------------------------------
|  5  2  | 17  6  | 14  3  |  8  4  |  7 16  | 12 18  |  9 15  |  1 13  | 11 10  |
| 14  9  |  4 11  | 12  8  |  5  3  | 15 18  |  7 13  |  1 17  |  2 10  |  6 16  |
| 18  1  | 14  8  |  2  6  | 10 12  |  3  5  | 11 17  |  7 16  |  9  4  | 13 15  |
| 13  4  |  9  3  | 16 17  |  6 11  |  8  1  | 14  5  | 10 12  |  7 15  |  2 18  |
| 10 16  |  7  1  |  5 15  | 17  2  |  6  4  |  3  8  | 13 18  | 12 11  |  9 14  |
| 17  7  | 16 13  |  9 18  | 14 15  | 11 10  |  6  2  |  5  4  |  8  3  | 12  1  |
| 12 11  | 18  5  | 13 10  |  9  1  | 14 17  | 15  4  |  3  2  | 16  6  |  7  8  |
|  6 15  | 10  2  |  1  4  | 18  7  | 12 13  | 16  9  |  8 11  | 17 14  |  3  5  |
|  3  8  | 12 15  |  7 11  | 13 16  |  2  9  |  1 10  |  6 14  | 18  5  |  4 17  |
----------------------------------------------------------------------------------------------------
| 11  5  |  2  4  | 18 16  |  7  8  | 10 15  | 13  1  | 17  9  |  6 12  | 14  3  |
|  4 13  |  8 16  | 10 12  | 15  6  |  9  2  | 18 14  | 11  1  |  3 17  |  5  7  |
|  7 10  | 13 12  |  4  5  | 11 17  |  1  3  |  2 15  | 16  6  | 14 18  |  8  9  |
|  9  3  |  1  7  | 11 14  |  4 18  | 17  8  | 10 12  |  2  5  | 13 16  | 15  6  |
| 16 17  | 11  9  |  3  7  |  2 13  |  4 14  |  8  6  | 15 10  |  5  1  | 18 12  |
|  8 14  |  6 18  | 15  9  |  3 10  |  5 11  | 17 16  | 12 13  |  4  7  |  1  2  |
| 15 12  |  5 14  | 17  2  |  1  9  | 16  6  |  4  3  | 18  7  | 11  8  | 10 13  |
|  1  6  | 15 17  |  8 13  | 12  5  | 18  7  |  9 11  | 14  3  | 10  2  | 16  4  |
|  2 18  |  3 10  |  6  1  | 16 14  | 13 12  |  5  7  |  4  8  | 15  9  | 17 11  |
----------------------------------------------------------------------------------------------------
