----------------------------------------------------------------------------------------------------
| 11  9  |  3 12  |  6  5  | 16  4  |  7 17  | 18 13  | 15  1  |  2  8  | 14 10  |
| 18 16  |  8 10  | 12 13  | 17 15  |  5  6  |  7  9  | 14  3  |  1  4  | 11  2  |
| 17 12  |  9  2  | 14 10  |  6  8  | 16  1  |  5 15  | 18  4  |  3 11  |  7 13  |
|  3  7  | 18  5  |  1 11  | 13 10  | 12  2  |  4 17  |  6  8  | 14 15  | 16  9  |
|  1 15  | 17  7  |  9  4  |  5 11  | 10 13  |  6 14  | 16  2  | 18 12  |  8  3  |
| 13  2  |  1 14  | 18 17  |  9  3  |  4  8  | 16 12  |  5 11  | 10  7  | 15  6  |
| 14  5  | 13 15  |  2  8  | 12 18  |  3  9  |  1 11  |  7 10  |  6 16  |  4 17  |
|  4  6  | 16 11  | 15  3  |  2  7  | 18 14  | 10  8  | 12 13  |  9 17  |  1  5  |
|  8 10  |  4  6  |  7 16  |  1 14  | 15 11  |  3  2  |  9 17  |  5 13  | 18 12  |
----------------------------------------------------------------------------------------------------
|  6 13  | 10  4  |  5 15  |  7 12  | 11 16  | 14 18  |  8  9  | 17  3  |  2  1  |
|  7 17  |  6 16  |  8  9  | 15 13  |  2 12  | 11  5  |  1 18  |  4 10  |  3 14  |
|  2 14  |  5 18  | 10  6  |  3 16  |  1  7  | 17  4  | 11 15  | 12  9  | 13  8  |
| 12 18  |  7 17  |  3 14  | 10  6  |  9 15  |  8  1  |  4 16  | 13  2  |  5 11  |
| 10  3  | 11  8  | 13 18  |  4 17  | 14  5  |  9  7  |  2 12  | 16  1  |  6 15  |
| 16  1  |  2 13  |  4 12  | 14  9  |  8 18  | 15  3  | 17  5  | 11  6  | 10  7  |
|  9  8  | 14  1  | 16  7  | 11  2  | 17  4  | 13 10  |  3  6  | 15  5  | 12 18  |
| 15  4  | 12  9  | 11  1  |  8  5  | 13  3  |  2  6  | 10 14  |  7 18  | 17 16  |
|  5 11  | 15  3  | 17  2  | 18  1  |  6 10  | 12 16  | 13  7  |  8 14  |  9  4  |
----------------------------------------------------------------------------------------------------
