----------------------------------------------------------------------------------------------------
|  2 14  |  9  3  | 16 18  | 12  7  | 15  5  |  4 11  | 13 17  |  6 10  |  1  8  |
| 10  6  | 14 12  |  2  5  |  9 15  | 16 17  |  8 18  | 11  7  |  4  1  |  3 13  |
|  4 13  | 10  7  |  9 14  |  6  5  |  2 11  | 16 12  | 15  1  |  8  3  | 17 18  |
| 15  1  |  6  2  |  3 11  | 16 10  |  9  7  |  5 17  | 18  8  | 14 13  |  4 12  |
|  5 16  |  4 15  |  6  8  | 14 13  | 12  3  |  7  1  |  2 10  | 17 18  |  9 11  |
|  8  9  | 13  5  |  4  7  | 17 18  | 14  1  | 10  2  | 12  3  | 11 15  |  6 16  |
|  3 12  | 16 17  | 13 10  | 11  1  | 18  8  | 15 14  |  6  4  |  7  9  |  5  2  |
|  7 18  |  8 11  | 17  1  |  2  3  | 10  4  | 13  6  |  9  5  | 12 16  | 15 14  |
| 11 17  | 18  1  | 12 15  |  8  4  |  6 13  |  9  3  | 14 16  |  2  5  |  7 10  |
----------------------------------------------------------------------------------------------------
| 14  4  |  1 16  | 15  9  |  5 11  | 13 12  |  6  8  |  3  2  | 18 17  | 10  7  |
|  9  2  | 11  4  | 18 16  |  7  6  |  1 15  | 17  5  |  8 12  | 10 14  | 13  3  |
| 12  7  |  2  9  | 11 13  |  4  8  |  5 14  | 18 10  | 17 15  |  3  6  | 16  1  |
| 13 11  |  3  8  | 10 12  | 18 17  |  7  6  |  1 15  |  5 14  | 16  4  |  2  9  |
|  1  5  |  7 18  |  8 17  | 15 16  | 11  2  |  3  9  | 10  6  | 13 12  | 14  4  |
| 17  8  |  5 13  |  7  3  | 10  9  |  4 18  | 14 16  |  1 11  | 15  2  | 12  6  |
| 16 15  | 17 14  |  1  6  |  3  2  |  8 10  | 12 13  |  4 18  |  9  7  | 11  5  |
| 18 10  | 15  6  | 14  4  |  1 12  |  3  9  |  2  7  | 16 13  |  5 11  |  8 17  |
|  6  3  | 12 10  |  5  2  | 13 14  | 17 16  | 11  4  |  7  9  |  1  8  | 18 15  |
----------------------------------------------------------------------------------------------------
