----------------------------------------------------------------------------------------------------
|  6 10  |  8 14  | 16  9  | 17  4  |  2  7  | 12  3  |  5 18  |  1 13  | 15 11  |
|  7 12  |  5  1  | 18  8  | 13  2  | 10  6  |  4 15  |  3  9  | 14 11  | 17 16  |
| 14  8  |  7 10  |  2  5  |  9 12  |  1 16  |  6 11  |  4 15  | 17 18  |  3 13  |
|  3  4  | 11  2  | 14  7  |  8 10  |  9 17  | 18 16  | 13 12  |  6 15  |  1  5  |
| 11 13  |  3  4  | 17 10  | 14 18  |  5 15  |  9  1  |  6 16  | 12  2  |  7  8  |
| 18 15  | 13  9  |  3 11  | 16  6  | 14 12  | 10 17  |  1  7  |  5  8  |  2  4  |
|  9 17  | 18  6  |  1  4  |  7 15  |  3 11  | 13  5  |  8  2  | 16 10  | 12 14  |
|  5  2  | 17 16  | 12 15  |  3  1  | 18 13  |  7  8  | 11 14  |  9  4  |  6 10  |
|  1 16  | 12 15  |  6 13  |  5 11  |  4  8  |  2 14  | 10 17  |  3  7  | 18  9  |
----------------------------------------------------------------------------------------------------
| 17  5  | 15 18  |  9 12  | 10 16  |  8  1  | 14  4  |  7 13  |  2  3  | 11  6  |
| 15  9  |  6  5  |  8 18  |  1 13  | 16  2  | 11  7  | 14  3  |  4 12  | 10 17  |
|  2 18  | 14 13  | 15 17  | 12  5  |  7  4  |  8 10  |  9  1  | 11  6  | 16  3  |
| 10 14  | 16  7  |  5  2  | 15  8  | 13  3  |  1  6  | 17 11  | 18  9  |  4 12  |
| 12  6  |  2 17  | 10 14  | 18  7  | 11  9  |  3 13  | 16  4  |  8  1  |  5 15  |
|  4  7  |  9 12  | 13  6  | 11  3  | 15 14  | 16 18  |  2  5  | 10 17  |  8  1  |
|  8  3  |  4 11  |  7  1  |  2 14  | 17 10  |  5  9  | 12  6  | 15 16  | 13 18  |
| 13  1  | 10  3  | 11 16  |  4  9  |  6 18  | 17 12  | 15  8  |  7  5  | 14  2  |
| 16 11  |  1  8  |  4  3  |  6 17  | 12  5  | 15  2  | 18 10  | 13 14  |  9  7  |
----------------------------------------------------------------------------------------------------
