----------------------------------------------------------------------------------------------------
|  1 13  |  7 11  |  3  2  | 12 17  |  5  8  | 15  4  |  6  9  | 10 14  | 18 16  |
| 17  8  | 18 10  |  1 13  |  3  4  | 12 16  |  7  9  |  5 15  |  6 11  | 14  2  |
|  7 11  |  6 12  | 10 14  |  1  5  |  4  2  |  3 18  |  8 17  |  9 16  | 13 15  |
| 14  5  |  8 17  |  7 18  |  9 16  |  3 15  |  2 12  | 11  4  | 13  1  | 10  6  |
| 12  6  | 15  5  | 11  4  | 18  2  |  1  9  | 10 16  | 13 14  |  8 17  |  3  7  |
|  3 18  | 13  1  | 17  5  | 11  7  | 14 10  |  8  6  | 12 16  | 15  2  |  9  4  |
|  2 10  |  3 14  | 16  9  | 13 15  |  7  6  |  5 11  |  1 18  |  4 12  |  8 17  |
| 15 16  |  9  4  |  8  6  | 14 10  | 11 18  | 17 13  |  3  2  |  5  7  | 12  1  |
|  9  4  |  2 16  | 15 12  |  6  8  | 13 17  |  1 14  | 10  7  |  3 18  |  5 11  |
----------------------------------------------------------------------------------------------------
|  6 15  | 17  7  | 12  3  | 16 14  | 18  4  | 13  5  |  2 10  |  1  9  | 11  8  |
| 11 17  | 12  3  |  6  7  | 15  1  |  2 13  |  4 10  | 14  8  | 18  5  | 16  9  |
| 10  9  | 11 15  |  5 17  |  8 18  | 16 12  |  6  1  |  4 13  |  2  3  |  7 14  |
|  4 14  |  1  9  |  2 11  | 17 12  |  6  5  | 18  8  |  7  3  | 16 10  | 15 13  |
| 18 12  |  4  2  |  9 15  |  7 13  | 10 14  | 16  3  | 17  1  | 11  8  |  6  5  |
| 13  3  | 10  8  |  4  1  |  2 11  |  9  7  | 12 15  | 16  5  | 14  6  | 17 18  |
| 16  1  | 14  6  | 13  8  |  5  9  | 15  3  | 11  7  | 18 12  | 17  4  |  2 10  |
|  8  7  |  5 13  | 18 16  | 10  6  | 17  1  | 14  2  |  9 11  | 12 15  |  4  3  |
|  5  2  | 16 18  | 14 10  |  4  3  |  8 11  |  9 17  | 15  6  |  7 13  |  1 12  |
----------------------------------------------------------------------------------------------------
