----------------------------------------------------------------------------------------------------
|  5 12  |  8  1  |  6  4  |  2 18  | 17 13  | 11  7  | 15 10  |  3 16  | 14  9  |
| 17 15  |  7 14  | 18  3  |  9  6  | 10 12  |  2 16  | 11 13  |  5  4  |  8  1  |
| 14  1  |  5 17  |  7 12  |  3  4  |  9 16  | 10 13  |  2 18  | 11  8  | 15  6  |
|  9 16  | 11 18  |  1 13  | 14 17  |  4  5  | 12  6  |  3  8  | 15  2  | 10  7  |
| 13  6  | 12 15  |  8 11  |  1 10  | 18  7  |  4  9  | 16  5  | 17 14  |  2  3  |
|  2 18  | 16 13  | 14  5  | 12 11  |  3  6  | 15  8  |  9  7  | 10  1  |  4 17  |
| 10 11  |  2  9  | 17 15  |  7  5  |  1  8  | 18  3  |  4 14  | 13  6  | 16 12  |
|  4  7  |  6  3  | 16 10  |  8 13  |  2 15  |  5 14  | 17  1  |  9 12  | 11 18  |
|  8  3  |  4 10  |  2  9  | 16 15  | 14 11  | 17  1  | 12  6  |  7 18  |  5 13  |
----------------------------------------------------------------------------------------------------
| 12  4  |  3  6  | 11 17  | 18  1  | 15 14  | 13  2  | 10 16  |  8  7  |  9  5  |
| 15  5  | 18 12  |  4  2  | 10  7  | 11  1  | 14 17  | 13  9  | 16  3  |  6  8  |
| 18 13  | 17  4  |  5  1  |  6  8  | 12  9  |  7 11  | 14 15  |  2 10  |  3 16  |
| 11  2  | 15 16  |  9  8  |  4 12  | 13 10  |  3 18  |  7 17  |  6  5  |  1 14  |
|  7 14  |  1  2  | 12  6  | 17  9  |  8  4  | 16 15  |  5  3  | 18 11  | 13 10  |
|  1 17  | 13  7  | 15 18  | 11 16  |  5  3  |  8 10  |  6  2  | 14  9  | 12  4  |
|  3  9  | 14 11  | 10  7  |  5  2  | 16 18  |  6  4  |  8 12  |  1 13  | 17 15  |
| 16 10  |  9  8  | 13 14  | 15  3  |  6  2  |  1  5  | 18  4  | 12 17  |  7 11  |
|  6  8  | 10  5  |  3 16  | 13 14  |  7 17  |  9 12  |  1 11  |  4 15  | 18  2  |
----------------------------------------------------------------------------------------------------
