----------------------------------------------------------------------------------------------------
| 14 12  |  7  4  |  5  1  | 17 11  | 13  8  |  6 16  |  2 10  |  9 18  | 15  3  |
| 10 16  | 12  5  |  4  3  |  1  8  | 11 14  | 18 13  |  6  9  | 17 15  |  2  7  |
| 17  9  | 14  6  | 12  2  |  7 13  |  1 15  | 11  5  |  3  4  | 10 16  |  8 18  |
| 15  1  | 18 17  | 14  7  | 16 10  |  6  3  |  8  9  | 13  5  |  4  2  | 11 12  |
|  4  6  |  1 10  | 18 13  | 14  2  |  7 17  | 15  3  | 12 16  |  8 11  |  9  5  |
|  8  7  |  9 16  |  6 10  |  4 12  |  5 18  |  1  2  | 15 11  | 13  3  | 14 17  |
| 18 11  |  8  3  |  9 17  |  6 15  |  2 16  |  7  4  |  1 14  | 12  5  | 13 10  |
|  2  5  | 13 15  | 16 11  |  9  3  |  4 10  | 17 12  | 18  8  |  7 14  |  6  1  |
| 13  3  |  2 11  |  8 15  |  5 18  | 12  9  | 10 14  |  7 17  |  1  6  |  4 16  |
----------------------------------------------------------------------------------------------------
|  9 17  | 15  2  |  7 14  | 12  6  |  8  1  | 16 10  |  4 18  |  5 13  |  3 11  |
|  7 10  |  5 14  |  1 16  | 13 17  | 18  4  |  2 11  |  9  3  | 15  8  | 12  6  |
|  5  8  | 17 18  |  3  9  | 15 14  | 10 13  |  4  1  | 11  6  | 16 12  |  7  2  |
|  1 15  |  6 13  | 17  8  |  2  5  | 14  7  |  3 18  | 16 12  | 11  4  | 10  9  |
| 16 14  | 10  8  |  2 12  | 18  9  |  3 11  | 13 17  |  5 15  |  6  7  |  1  4  |
| 11  2  |  4  1  | 10  5  |  8  7  | 16 12  |  9  6  | 14 13  |  3 17  | 18 15  |
|  6  4  | 11  9  | 15 18  |  3  1  | 17  5  | 12  7  |  8  2  | 14 10  | 16 13  |
| 12 18  |  3  7  | 13  4  | 11 16  | 15  6  |  5  8  | 10  1  |  2  9  | 17 14  |
|  3 13  | 16 12  | 11  6  | 10  4  |  9  2  | 14 15  | 17  7  | 18  1  |  5  8  |
----------------------------------------------------------------------------------------------------
