----------------------------------------------------------------------------------------------------
|  6  9  | 15 16  | 11 14  |  1 18  |  7  5  |  8 10  |  4  2  | 13 17  |  3 12  |
|  8 15  | 12  4  | 16  9  | 11  3  |  2  1  |  7 13  |  6 18  |  5 10  | 17 14  |
| 10 13  |  7  1  |  4  5  | 16  6  | 18 17  |  2  3  |  8  9  | 14 12  | 15 11  |
| 12 11  |  3  6  | 15 18  |  9  8  | 14 10  |  1 17  |  7 16  |  2  4  | 13  5  |
|  2  5  | 14 13  |  7  3  | 15 10  |  6  8  | 18  4  | 17 12  |  9 11  |  1 16  |
|  3 16  |  2  5  |  1 10  |  7 17  |  4 13  |  6 12  | 11 14  |  8 15  |  9 18  |
| 17  7  | 11  9  |  2 12  | 13  4  |  3 15  | 14  5  |  1 10  | 18 16  |  8  6  |
|  4  1  | 18 17  |  6  8  | 14 12  | 11 16  | 15  9  |  5 13  |  7  3  | 10  2  |
| 18 14  |  8 10  | 17 13  |  5  2  |  9 12  | 16 11  | 15  3  |  6  1  |  4  7  |
----------------------------------------------------------------------------------------------------
| 14  2  | 17 15  |  5  1  |  8  9  | 13  7  |  4 16  | 10  6  | 12 18  | 11  3  |
| 16 17  |  9 11  | 10 15  |  4  7  |  1 14  | 13  6  | 12  5  |  3  2  | 18  8  |
|  5 10  | 16 12  |  8  7  |  3  1  | 15  9  | 17  2  | 18  4  | 11  6  | 14 13  |
|  9  3  |  4  8  | 13 16  | 17 15  | 12  6  |  5 18  |  2 11  |  1 14  |  7 10  |
| 13  4  |  6 14  |  9 17  |  2 11  |  5 18  | 12  1  |  3  8  | 10  7  | 16 15  |
| 11 12  |  5  3  | 18  4  | 10 13  | 17  2  |  9 14  | 16  7  | 15  8  |  6  1  |
|  7  8  | 10  2  | 12  6  | 18 14  | 16  3  | 11 15  |  9  1  | 17 13  |  5  4  |
| 15 18  |  1  7  | 14  2  |  6 16  | 10 11  |  3  8  | 13 17  |  4  5  | 12  9  |
|  1  6  | 13 18  |  3 11  | 12  5  |  8  4  | 10  7  | 14 15  | 16  9  |  2 17  |
----------------------------------------------------------------------------------------------------
