----------------------------------------------------------------------------------------------------
| 15  9  |  7  3  |  2  5  |  1 16  | 18  4  | 11 14  | 13  8  | 10 17  | 12  6  |
| 16 11  |  9  4  |  8 15  |  6 14  |  2  3  | 12  1  | 17  7  | 13 18  | 10  5  |
| 13  3  | 16 11  |  7  9  | 15 17  |  1 14  | 18  5  |  2 10  | 12  6  |  8  4  |
|  8  1  |  2  5  | 11 16  |  9  7  | 13 17  |  3 10  | 12  6  | 14  4  | 18 15  |
| 17 18  |  8 13  | 12  1  |  2  4  |  9 10  |  7  6  | 14  5  | 11 15  | 16  3  |
| 14  2  | 17  1  |  3 18  | 11 10  |  6 12  | 13  4  | 16 15  |  5  8  |  7  9  |
|  7  5  | 15 18  |  6 10  | 12 13  | 11 16  | 17  8  |  4  1  |  9  3  | 14  2  |
| 12 10  | 14  6  | 17  4  |  3 18  |  8  5  | 16 15  | 11  9  |  7  2  | 13  1  |
|  4  6  | 12 10  | 14 13  |  8  5  | 15  7  |  2  9  | 18  3  |  1 16  | 11 17  |
----------------------------------------------------------------------------------------------------
| 18 13  |  3 14  | 15  2  | 17  9  |  5  8  |  6 16  | 10 11  |  4 12  |  1  7  |
|  5 15  | 18  9  |  1 14  | 13  3  | 12  6  |  4 17  |  7 16  |  8 11  |  2 10  |
| 10  8  | 13 17  | 18 12  | 14  2  |  7 15  |  5  3  |  9  4  | 16  1  |  6 11  |
|  9 16  | 10  2  | 13 17  | 18  1  |  3 11  | 15 12  |  5 14  |  6  7  |  4  8  |
|  2  7  |  1  8  |  9  3  | 16 15  |  4 18  | 10 11  |  6 12  | 17 13  |  5 14  |
|  3  4  |  5  7  | 16 11  | 10  6  | 14 13  |  8 18  |  1 17  |  2  9  | 15 12  |
|  6 14  | 11 16  |  4  7  |  5 12  | 17  9  |  1 13  |  8  2  | 15 10  |  3 18  |
| 11 12  |  4 15  |  5  6  |  7  8  | 10  1  |  9  2  |  3 13  | 18 14  | 17 16  |
|  1 17  |  6 12  | 10  8  |  4 11  | 16  2  | 14  7  | 15 18  |  3  5  |  9 13  |
----------------------------------------------------------------------------------------------------
