----------------------------------------------------------------------------------------------------
| 12  5  | 14 11  |  9  3  |  8 13  | 10 15  |  1  4  |  2 18  | 17 16  |  6  7  |
|  3  7  | 12 17  | 11  8  |  2  4  | 16 14  | 15 13  |  1  6  |  5 10  | 18  9  |
| 17 10  |  3  5  | 16  1  |  9 15  |  8  7  | 11  2  | 12 13  |  6 18  |  4 14  |
| 11  6  |  8  2  |  5 17  |  1 12  |  3  4  |  7 18  | 16 10  | 14  9  | 13 15  |
| 13  9  | 15  6  | 18  2  |  3 14  |  1 11  |  8 16  |  5  4  | 12  7  | 10 17  |
| 18  2  |  1  4  | 12  6  | 17 11  |  9  5  |  3 10  |  7 14  | 13 15  | 16  8  |
| 14  1  | 10  9  |  7  4  |  5 16  | 18 13  | 17  6  | 15  3  |  2  8  | 12 11  |
|  8  4  |  7 16  | 13 15  | 18 10  |  2  6  | 14 12  | 17  9  |  3 11  |  5  1  |
| 15 16  | 13 18  | 10 14  |  7  6  | 12 17  |  9  5  |  8 11  |  4  1  |  2  3  |
----------------------------------------------------------------------------------------------------
|  2 12  |  6 15  | 14 10  | 13  7  |  5  1  | 18  3  |  9 17  |  8  4  | 11 16  |
|  4 15  |  5  1  |  6 11  | 12 18  | 17  3  |  2  8  | 13  7  | 16 14  |  9 10  |
|  9  3  |  4 14  |  8 12  |  6  2  | 13 10  | 16 17  | 11  1  |  7  5  | 15 18  |
|  1 13  | 11  7  | 17  5  | 10  9  |  4 12  |  6 14  | 18 16  | 15  3  |  8  2  |
|  5 17  | 18 12  |  4 13  | 14  1  | 11 16  | 10 15  |  3  8  |  9  2  |  7  6  |
| 16 18  | 17  8  |  2  7  |  4  5  | 14  9  | 12  1  | 10 15  | 11  6  |  3 13  |
|  7  8  |  9  3  | 15 18  | 16 17  |  6  2  | 13 11  | 14  5  | 10 12  |  1  4  |
|  6 14  | 16 10  |  1  9  | 11  3  | 15  8  |  5  7  |  4  2  | 18 13  | 17 12  |
| 10 11  |  2 13  |  3 16  | 15  8  |  7 18  |  4  9  |  6 12  |  1 17  | 14  5  |
----------------------------------------------------------------------------------------------------
